exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,1,0.509,0.137,271.654,277.945,136.771,0.054,1339.0,96.032,65540.0,0.006,8.5e-05,4.25e-06,1.564,21.762,98.823,1.0,97.915,1.0,98.551,21.762
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,2,0.501,0.132,86.354,86.221,43.157,0.05,110.859,42.063,65540.0,0.005,0.000253,1.265e-05,1.536,21.762,91.105,0.966,91.745,0.944,91.297,21.762
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,3,0.502,0.131,73.873,74.397,37.015,0.051,85.453,26.984,65540.0,0.005,0.000421,2.105e-05,1.543,21.762,68.437,0.912,69.751,0.918,68.832,21.762
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,4,0.505,0.131,57.748,58.902,29.047,0.051,74.608,15.476,65540.0,0.005,0.000589,2.945e-05,1.546,21.762,59.165,0.732,61.035,0.752,59.726,21.762
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,5,0.501,0.131,49.536,51.402,25.048,0.051,64.603,5.556,65540.0,0.005,0.000757,3.785e-05,1.539,21.762,53.913,0.638,55.872,0.659,54.501,21.762
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,6,0.507,0.131,44.17,46.636,22.455,0.051,62.287,5.159,65540.0,0.005,0.0009246,4.623e-05,1.548,21.762,48.876,0.587,51.692,0.605,49.721,21.762
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,7,0.512,0.131,38.803,41.791,19.85,0.05,51.574,1.587,65540.0,0.005,0.0009572,4.786e-05,1.549,21.762,45.743,0.525,48.899,0.557,46.69,21.762
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,8,0.508,0.131,34.082,37.46,17.548,0.052,46.952,0.0,69700.0,0.005,0.000891,4.455e-05,1.561,21.762,42.035,0.469,45.439,0.512,43.056,21.762
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,9,0.505,0.132,29.98,33.688,15.546,0.05,44.789,0.0,131100.0,0.005,0.0008369,4.184e-05,1.543,21.762,40.364,0.441,44.616,0.495,41.64,21.762
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,10,0.513,0.132,27.186,31.121,14.183,0.052,44.361,0.397,131100.0,0.005,0.0007916,3.958e-05,1.57,21.762,38.231,0.413,42.153,0.46,39.408,21.762
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,11,0.514,0.132,24.703,28.697,12.95,0.051,43.093,0.0,131100.0,0.005,0.0007529,3.765e-05,1.567,21.771,38.754,0.408,43.18,0.454,40.082,21.771
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,12,0.511,0.132,22.51,26.706,11.884,0.051,42.851,0.0,131100.0,0.005,0.0007194,3.597e-05,1.56,21.771,38.328,0.385,42.121,0.436,39.466,21.771
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,13,0.517,0.132,20.826,25.14,11.06,0.052,42.778,0.0,131100.0,0.005,0.00069,3.45e-05,1.576,21.771,37.731,0.384,41.918,0.43,38.987,21.771
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,14,0.516,0.131,19.005,23.379,10.158,0.052,42.161,0.397,131100.0,0.005,0.000664,3.32e-05,1.572,21.771,36.41,0.367,40.992,0.417,37.785,21.771
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,15,0.513,0.132,17.478,21.857,9.396,0.051,41.499,0.0,131100.0,0.005,0.0006407,3.203e-05,1.565,21.771,37.995,0.363,41.534,0.41,39.057,21.771
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,16,0.521,0.132,16.324,20.687,8.816,0.051,41.484,0.0,147700.0,0.005,0.0006197,3.098e-05,1.578,21.773,36.976,0.355,41.042,0.405,38.196,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,17,0.513,0.132,15.0,19.366,8.155,0.052,40.647,0.0,262100.0,0.005,0.0006006,3.003e-05,1.569,21.773,38.607,0.354,42.305,0.403,39.716,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,18,0.52,0.132,13.643,18.056,7.483,0.051,39.993,0.0,262100.0,0.005,0.0005832,2.916e-05,1.579,21.773,38.387,0.345,42.27,0.391,39.552,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,19,0.525,0.131,12.788,17.154,7.049,0.052,39.539,0.0,262100.0,0.005,0.0005672,2.836e-05,1.595,21.773,39.078,0.342,42.765,0.392,40.184,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,20,0.517,0.131,11.98,16.318,6.641,0.05,39.185,0.0,262100.0,0.005,0.0005525,2.762e-05,1.564,21.773,40.667,0.338,43.384,0.388,41.482,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,21,0.513,0.131,11.318,15.665,6.311,0.051,39.383,0.0,262100.0,0.005,0.0005388,2.694e-05,1.562,21.773,41.04,0.339,43.97,0.39,41.919,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,22,0.525,0.132,10.567,14.801,5.919,0.053,38.491,0.0,262100.0,0.005,0.0005261,2.631e-05,1.595,21.773,40.785,0.33,43.96,0.382,41.737,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,23,0.523,0.132,9.752,13.889,5.497,0.051,38.145,0.0,262100.0,0.005,0.0005143,2.572e-05,1.586,21.773,41.414,0.332,44.632,0.38,42.379,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,24,0.512,0.132,9.424,13.602,5.339,0.05,38.017,0.0,312100.0,0.005,0.0005032,2.516e-05,1.555,21.773,42.706,0.33,45.501,0.38,43.545,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,25,0.512,0.132,8.92,12.89,5.055,0.052,37.357,0.0,524300.0,0.005,0.0004929,2.464e-05,1.571,21.773,42.26,0.325,45.549,0.376,43.246,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,26,0.51,0.131,8.343,12.279,4.762,0.051,37.155,0.0,524300.0,0.005,0.0004831,2.416e-05,1.559,21.773,44.064,0.325,45.969,0.372,44.635,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,27,0.511,0.132,7.957,11.841,4.561,0.052,37.052,0.0,524300.0,0.005,0.0004739,2.37e-05,1.566,21.773,44.788,0.326,46.825,0.376,45.399,21.773
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,28,0.515,0.132,7.484,11.236,4.305,0.052,36.022,0.0,524300.0,0.005,0.0004652,2.326e-05,1.57,21.775,45.158,0.324,47.275,0.37,45.793,21.775
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,29,0.508,0.132,7.295,10.978,4.2,0.051,36.302,0.0,524300.0,0.005,0.000457,2.285e-05,1.553,21.775,47.482,0.328,48.946,0.374,47.921,21.775
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,30,0.509,0.132,7.146,10.77,4.116,0.051,35.535,0.0,524300.0,0.005,0.0004492,2.246e-05,1.559,21.775,46.63,0.337,48.778,0.369,47.274,21.775
