exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,1,0.527,0.132,219.852,228.908,111.284,0.05,912.775,72.619,65540.0,0.006,8.5e-05,1.584,21.775,94.233,0.946,94.308,0.967,94.256,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,2,0.507,0.132,81.913,83.654,41.218,0.05,85.979,28.968,65540.0,0.005,0.000253,1.547,21.775,84.606,0.997,85.815,0.918,84.969,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,3,0.508,0.131,78.007,81.302,39.498,0.051,102.679,40.476,65540.0,0.005,0.000421,1.557,21.775,87.079,0.942,92.71,0.971,88.768,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,4,0.523,0.131,79.829,85.697,40.795,0.052,334.091,73.413,65540.0,0.006,0.000589,1.583,21.775,89.764,0.905,98.075,1.0,92.257,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,5,0.513,0.131,81.856,88.024,41.853,0.051,881.798,76.587,65540.0,0.005,0.000757,1.565,21.775,98.877,0.966,98.52,1.0,98.77,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,6,0.506,0.131,84.299,87.376,42.611,0.051,1919.0,50.794,65540.0,0.005,0.0009246,1.546,21.775,95.27,0.966,100.244,1.0,96.762,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,7,0.512,0.131,84.838,86.848,42.721,0.05,90.389,28.571,65540.0,0.006,0.0009572,1.55,21.775,93.422,0.938,97.172,1.0,94.547,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,8,0.506,0.131,84.139,85.873,42.329,0.052,71.5,20.635,69700.0,0.005,0.000891,1.555,21.775,92.255,0.915,108.132,0.979,97.018,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,9,0.506,0.131,83.268,83.578,41.68,0.05,75.822,24.206,131100.0,0.005,0.0008369,1.542,21.775,90.946,0.87,116.72,0.98,98.678,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,10,0.522,0.132,82.483,82.588,41.257,0.052,77.091,25.397,131100.0,0.006,0.0007916,1.588,21.775,90.768,0.88,124.758,0.962,100.965,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,11,0.514,0.131,82.237,82.145,41.105,0.051,86.998,31.349,131100.0,0.005,0.0007529,1.567,21.775,90.842,0.896,127.426,0.963,101.817,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,12,0.513,0.131,82.121,80.796,40.862,0.051,92.533,36.508,131100.0,0.005,0.0007194,1.564,21.775,90.434,0.91,133.51,0.966,103.357,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,13,0.52,0.132,81.985,80.301,40.74,0.052,99.287,31.746,131100.0,0.006,0.00069,1.582,21.775,90.808,0.889,135.898,0.962,104.335,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,14,0.514,0.131,81.881,79.872,40.639,0.052,123.632,37.698,131100.0,0.006,0.000664,1.57,21.775,90.079,0.859,117.395,0.961,98.274,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,15,0.514,0.131,81.396,79.728,40.448,0.051,123.562,36.111,131100.0,0.006,0.0006407,1.567,21.775,90.502,0.854,109.498,0.966,96.201,21.775
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,16,0.524,0.132,80.889,79.689,40.264,0.051,164.884,39.286,147700.0,0.006,0.0006197,1.584,21.775,90.901,0.877,113.961,0.966,97.819,21.775
