exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,1,0.522,0.131,354.459,708.132,230.281,0.022,8284.0,100.0,65540.0,0.001,8.5e-05,4.25e-06,1.518,21.779,249.354,0.857,746.424,1.192,398.475,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,2,0.506,0.131,235.826,446.552,149.522,0.022,2208.0,100.0,65540.0,0.001,0.000253,1.265e-05,1.488,21.779,251.927,0.857,354.661,1.064,282.747,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,3,0.508,0.131,126.37,180.954,71.373,0.022,852.604,94.841,65540.0,0.001,0.000421,2.105e-05,1.498,21.779,163.521,0.851,345.706,0.966,218.177,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,4,0.514,0.131,86.056,92.974,44.066,0.022,209.414,89.683,65540.0,0.001,0.000589,2.945e-05,1.507,21.779,182.36,0.835,219.952,0.857,193.638,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,5,0.513,0.131,85.536,91.016,43.59,0.022,188.13,81.746,65540.0,0.001,0.000757,3.785e-05,1.509,21.779,200.916,0.832,130.481,0.846,179.785,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,6,0.509,0.131,85.29,89.292,43.245,0.022,177.115,79.762,65540.0,0.001,0.0009246,4.623e-05,1.498,21.779,189.237,0.836,128.968,0.844,171.156,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,7,0.508,0.13,84.896,88.623,43.007,0.022,170.269,82.143,65540.0,0.001,0.0009572,4.786e-05,1.486,21.779,156.916,0.854,133.449,0.887,149.876,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,8,0.513,0.131,84.457,87.871,42.741,0.022,170.902,80.159,69700.0,0.001,0.000891,4.455e-05,1.513,21.779,142.369,0.868,129.755,0.918,138.585,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,9,0.516,0.131,83.536,87.756,42.401,0.022,155.076,75.397,131100.0,0.001,0.0008369,4.184e-05,1.507,21.779,257.971,0.837,136.925,0.85,221.657,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,10,0.513,0.131,82.774,86.626,41.965,0.022,128.186,59.524,131100.0,0.001,0.0007916,3.958e-05,1.512,21.779,131.231,0.894,123.757,0.883,128.989,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,11,0.517,0.131,81.781,86.479,41.595,0.022,138.669,73.016,131100.0,0.001,0.0007529,3.765e-05,1.518,21.779,156.768,0.86,125.047,0.883,147.251,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,12,0.516,0.131,80.347,86.438,41.087,0.022,129.35,63.889,131100.0,0.001,0.0007194,3.597e-05,1.514,21.779,133.303,0.849,129.854,0.875,132.269,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,13,0.513,0.131,78.987,85.996,40.545,0.022,117.996,59.524,131100.0,0.001,0.00069,3.45e-05,1.511,21.779,100.484,0.924,108.447,0.894,102.873,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,14,0.519,0.13,77.546,86.096,40.055,0.022,125.073,56.349,131100.0,0.001,0.000664,3.32e-05,1.523,21.779,99.306,0.917,113.218,0.874,103.479,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,15,0.514,0.131,74.839,85.698,39.048,0.022,109.697,52.381,131100.0,0.001,0.0006407,3.203e-05,1.509,21.779,104.445,0.926,111.552,0.86,106.577,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,16,0.511,0.131,71.88,85.247,37.945,0.022,103.47,46.825,147700.0,0.001,0.0006197,3.098e-05,1.5,21.779,89.926,0.939,103.683,0.873,94.053,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,17,0.517,0.131,68.822,85.362,36.892,0.023,111.246,50.794,262100.0,0.001,0.0006006,3.003e-05,1.52,21.779,100.077,0.944,123.519,0.838,107.109,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,18,0.518,0.131,65.857,85.354,35.853,0.022,115.428,51.19,262100.0,0.001,0.0005832,2.916e-05,1.518,21.779,97.293,0.918,128.93,0.855,106.784,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,19,0.52,0.131,63.058,85.183,34.848,0.022,109.464,52.381,262100.0,0.001,0.0005672,2.836e-05,1.527,21.779,95.069,0.889,135.074,0.867,107.071,21.779
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,20,0.52,0.131,59.949,84.863,33.712,0.023,99.127,38.492,262100.0,0.001,0.0005525,2.762e-05,1.514,21.779,93.698,0.869,107.607,0.829,97.87,21.779
