exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,1,0.523,0.144,288.788,293.303,145.071,0.025,1186.0,100.0,65540.0,0.001,8.5e-05,4.25e-06,1.577,21.779,222.136,0.935,224.792,0.933,222.933,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,2,0.517,0.143,86.23,86.805,43.201,0.023,111.759,36.508,65540.0,0.001,0.000253,1.265e-05,1.563,21.779,91.872,0.936,91.962,0.911,91.899,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,3,0.517,0.144,78.219,78.335,39.127,0.023,93.065,32.54,65540.0,0.001,0.000421,2.105e-05,1.551,21.779,78.569,0.989,79.176,0.994,78.751,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,4,0.519,0.143,64.696,64.981,32.391,0.023,79.329,21.429,65540.0,0.001,0.000589,2.945e-05,1.564,21.779,63.776,0.812,64.096,0.815,63.872,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,5,0.519,0.143,56.032,56.39,28.07,0.023,65.155,8.73,65540.0,0.001,0.000757,3.785e-05,1.559,21.779,62.654,0.654,62.886,0.654,62.724,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,6,0.521,0.143,50.222,50.578,25.164,0.024,56.253,3.968,65540.0,0.001,0.0009246,4.623e-05,1.569,21.779,54.999,0.618,55.323,0.616,55.096,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,7,0.52,0.143,45.669,46.026,22.888,0.023,52.183,3.968,65540.0,0.001,0.0009572,4.786e-05,1.563,21.779,51.347,0.556,51.687,0.556,51.449,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,8,0.521,0.143,41.062,41.393,20.581,0.023,44.927,0.794,69700.0,0.001,0.000891,4.455e-05,1.566,21.779,47.804,0.55,48.065,0.55,47.882,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,9,0.52,0.144,37.578,37.904,18.838,0.023,42.164,0.397,131100.0,0.001,0.0008369,4.184e-05,1.567,21.779,46.122,0.526,46.362,0.528,46.194,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,10,0.52,0.143,34.849,35.164,17.472,0.023,39.36,0.0,131100.0,0.001,0.0007916,3.958e-05,1.564,21.779,46.405,0.525,46.722,0.527,46.5,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,11,0.522,0.144,32.457,32.765,16.275,0.023,38.773,0.397,131100.0,0.001,0.0007529,3.765e-05,1.571,21.779,44.905,0.507,45.346,0.509,45.038,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,12,0.523,0.143,30.214,30.527,15.154,0.023,36.077,0.0,131100.0,0.001,0.0007194,3.597e-05,1.571,21.779,43.082,0.484,43.441,0.484,43.19,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,13,0.523,0.143,28.308,28.614,14.2,0.023,36.566,0.0,131100.0,0.001,0.00069,3.45e-05,1.574,21.779,42.512,0.476,42.813,0.48,42.602,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,14,0.523,0.144,26.794,27.102,13.443,0.023,34.386,0.0,131100.0,0.001,0.000664,3.32e-05,1.57,21.779,43.47,0.473,43.72,0.473,43.545,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,15,0.523,0.143,25.323,25.623,12.707,0.023,32.896,0.0,131100.0,0.001,0.0006407,3.203e-05,1.571,21.779,43.837,0.453,44.1,0.455,43.916,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,16,0.523,0.143,23.901,24.199,11.995,0.023,33.204,0.0,147700.0,0.001,0.0006197,3.098e-05,1.568,21.779,43.685,0.447,43.889,0.449,43.746,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,17,0.523,0.143,22.432,22.721,11.26,0.023,31.822,0.0,262100.0,0.001,0.0006006,3.003e-05,1.577,21.779,44.482,0.445,44.663,0.448,44.536,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,18,0.522,0.143,21.307,21.596,10.697,0.023,32.022,0.0,262100.0,0.001,0.0005832,2.916e-05,1.565,21.779,44.263,0.441,44.391,0.443,44.301,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,19,0.521,0.144,20.0,20.291,10.044,0.023,30.726,0.0,262100.0,0.001,0.0005672,2.836e-05,1.564,21.779,45.353,0.442,45.503,0.443,45.398,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,20,0.521,0.143,19.244,19.524,9.664,0.023,30.837,0.0,262100.0,0.001,0.0005525,2.762e-05,1.574,21.779,46.462,0.446,46.63,0.448,46.513,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,21,0.521,0.143,18.016,18.314,9.053,0.023,29.913,0.0,262100.0,0.001,0.0005388,2.694e-05,1.569,21.779,46.828,0.428,46.938,0.43,46.861,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,22,0.522,0.143,17.364,17.638,8.723,0.023,30.251,0.0,262100.0,0.001,0.0005261,2.631e-05,1.561,21.779,45.596,0.427,45.782,0.429,45.652,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,23,0.522,0.144,16.367,16.629,8.223,0.023,29.312,0.0,262100.0,0.001,0.0005143,2.572e-05,1.576,21.779,48.239,0.428,48.359,0.431,48.275,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,24,0.522,0.143,15.576,15.852,7.829,0.023,29.29,0.0,312100.0,0.001,0.0005032,2.516e-05,1.572,21.779,48.547,0.43,48.653,0.431,48.579,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,25,0.521,0.143,14.769,15.022,7.422,0.023,28.808,0.0,524300.0,0.001,0.0004929,2.464e-05,1.569,21.779,49.66,0.423,49.861,0.428,49.72,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,26,0.521,0.143,14.084,14.335,7.08,0.023,28.706,0.0,524300.0,0.001,0.0004831,2.416e-05,1.564,21.779,49.498,0.426,49.713,0.428,49.562,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,27,0.522,0.144,13.449,13.7,6.762,0.023,27.409,0.0,524300.0,0.001,0.0004739,2.37e-05,1.57,21.779,50.627,0.426,50.801,0.426,50.679,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,28,0.522,0.143,13.002,13.24,6.537,0.023,26.936,0.0,524300.0,0.001,0.0004652,2.326e-05,1.566,21.779,53.759,0.428,53.902,0.429,53.802,21.779
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,29,0.522,0.143,12.443,12.67,6.256,0.023,27.057,0.0,524300.0,0.001,0.000457,2.285e-05,1.566,21.779,52.871,0.421,52.966,0.422,52.899,21.779
