exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,1,0.52,0.137,7.642,7.692,3.828,0.055,48.603,8.333,65540.0,0.006,8.5e-05,4.25e-06,1.585,21.777,5.759,0.998,5.535,0.998,5.692,21.777
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,2,0.52,0.132,5.236,5.053,2.591,0.051,28.743,5.952,65540.0,0.006,0.000253,1.265e-05,1.571,21.777,3.295,0.998,3.197,0.998,3.265,21.777
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,3,0.517,0.131,5.685,5.499,2.815,0.052,36.637,7.54,65540.0,0.006,0.000421,2.105e-05,1.573,21.777,2.319,1.0,2.318,1.0,2.319,21.777
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,4,0.523,0.131,4.803,4.988,2.429,0.052,26.181,7.54,65540.0,0.006,0.000589,2.945e-05,1.58,21.779,2.061,0.997,2.373,1.0,2.155,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,5,0.533,0.132,4.885,4.989,2.458,0.052,29.133,5.952,65540.0,0.006,0.000757,3.785e-05,1.604,21.779,1.888,1.0,2.195,0.999,1.98,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,6,0.522,0.131,4.321,4.577,2.199,0.052,24.769,6.349,65540.0,0.006,0.0009246,4.623e-05,1.576,21.779,1.898,0.998,2.215,0.998,1.993,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,7,0.53,0.131,3.824,4.277,1.98,0.051,23.399,6.349,65540.0,0.006,0.0009572,4.786e-05,1.585,21.779,1.852,1.0,2.047,0.884,1.911,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,8,0.526,0.131,3.693,3.92,1.881,0.053,15.958,5.952,69700.0,0.006,0.000891,4.455e-05,1.595,21.779,2.142,0.997,2.328,0.997,2.198,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,9,0.522,0.131,3.553,3.837,1.819,0.051,11.824,2.381,131100.0,0.005,0.0008369,4.184e-05,1.574,21.779,1.84,0.968,2.014,0.956,1.892,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,10,0.524,0.132,3.524,3.677,1.785,0.053,8.939,4.365,131100.0,0.006,0.0007916,3.958e-05,1.589,21.779,2.026,0.997,2.085,0.997,2.044,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,11,0.524,0.132,3.578,3.651,1.8,0.053,10.667,3.175,131100.0,0.006,0.0007529,3.765e-05,1.587,21.779,1.826,0.992,1.873,0.995,1.84,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,12,0.527,0.132,3.513,3.568,1.765,0.052,10.7,4.365,131100.0,0.006,0.0007194,3.597e-05,1.591,21.779,1.921,0.997,1.987,0.997,1.941,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,13,0.526,0.132,3.556,3.544,1.776,0.053,11.85,5.556,131100.0,0.006,0.00069,3.45e-05,1.592,21.779,1.995,1.0,2.25,1.0,2.072,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,14,0.522,0.131,3.461,3.528,1.74,0.053,9.08,3.175,131100.0,0.006,0.000664,3.32e-05,1.583,21.779,1.829,0.996,1.903,0.996,1.851,21.779
B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,15,0.523,0.131,3.419,3.438,1.712,0.052,5.274,0.794,131100.0,0.006,0.0006407,3.203e-05,1.581,21.779,1.838,0.996,1.907,0.999,1.859,21.779
