exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,1,0.527,0.132,245.06,240.35,121.823,0.052,1125.0,20.635,65540.0,0.006,8.5e-05,4.25e-06,1.589,21.779,75.125,1.0,75.156,1.0,75.134,21.779
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,2,0.515,0.132,63.166,63.124,31.577,0.052,42.541,4.365,65540.0,0.006,0.000253,1.265e-05,1.566,21.779,68.617,0.932,68.735,0.934,68.652,21.779
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,3,0.516,0.132,55.807,56.014,27.934,0.053,49.504,7.143,65540.0,0.006,0.000421,2.105e-05,1.576,21.779,61.461,1.0,62.316,1.0,61.717,21.779
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,4,0.532,0.132,47.109,47.745,23.65,0.053,45.099,3.571,65540.0,0.006,0.000589,2.945e-05,1.605,21.779,51.194,0.998,52.181,0.997,51.49,21.779
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,5,0.533,0.132,41.041,42.059,20.673,0.053,44.488,0.0,65540.0,0.006,0.000757,3.785e-05,1.609,21.779,47.103,0.971,48.928,0.971,47.65,21.779
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,6,0.536,0.131,36.134,37.707,18.303,0.053,40.183,0.397,65540.0,0.006,0.0009246,4.623e-05,1.613,21.779,41.346,0.551,43.512,0.599,41.995,21.779
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,7,0.535,0.132,30.726,32.877,15.686,0.051,36.518,0.0,65540.0,0.006,0.0009572,4.786e-05,1.6,21.779,36.462,0.491,39.433,0.527,37.354,21.779
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,8,0.53,0.132,26.575,29.159,13.675,0.054,33.444,0.0,69700.0,0.006,0.000891,4.455e-05,1.609,21.779,35.421,0.461,38.288,0.491,36.281,21.779
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,9,0.53,0.132,23.681,26.602,12.279,0.052,34.431,0.0,131100.0,0.006,0.0008369,4.184e-05,1.596,21.779,33.707,0.435,36.917,0.463,34.67,21.779
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,10,0.534,0.132,21.579,24.765,11.267,0.054,32.949,0.0,131100.0,0.006,0.0007916,3.958e-05,1.617,21.779,32.1,0.394,35.534,0.433,33.13,21.779
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,11,0.54,0.132,19.84,23.316,10.441,0.053,33.835,0.0,131100.0,0.006,0.0007529,3.765e-05,1.626,21.779,31.994,0.391,35.651,0.435,33.091,21.779
