exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,1,0.525,0.141,377.2,379.563,188.954,0.075,1762.0,34.524,65540.0,0.006,8.5e-05,4.25e-06,1.647,21.779,40.472,1.0,40.547,1.0,40.495,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,2,0.519,0.14,39.844,39.806,19.916,0.074,19.847,0.0,65540.0,0.006,0.000253,1.265e-05,1.637,21.779,39.246,1.0,39.265,1.0,39.252,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,3,0.521,0.14,36.747,36.675,18.363,0.076,25.099,0.0,65540.0,0.006,0.000421,2.105e-05,1.649,21.779,35.003,1.0,35.101,1.0,35.032,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,4,0.522,0.14,31.764,31.911,15.904,0.075,27.573,0.397,65540.0,0.006,0.000589,2.945e-05,1.646,21.779,29.534,1.0,29.983,1.0,29.669,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,5,0.518,0.14,26.756,27.266,13.454,0.075,28.463,0.0,65540.0,0.006,0.000757,3.785e-05,1.64,21.779,25.406,0.987,26.293,0.984,25.672,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,6,0.518,0.139,21.746,22.758,11.025,0.075,27.317,0.0,65540.0,0.006,0.0009246,4.623e-05,1.637,21.779,20.204,0.595,21.043,0.614,20.456,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,7,0.517,0.14,16.211,17.718,8.332,0.074,25.87,0.0,65540.0,0.006,0.0009572,4.786e-05,1.625,21.779,16.805,0.522,17.775,0.55,17.096,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,8,0.534,0.14,12.779,14.442,6.639,0.077,25.91,0.0,69700.0,0.006,0.000891,4.455e-05,1.68,21.779,16.363,0.494,16.783,0.528,16.489,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,9,0.538,0.141,10.556,12.416,5.557,0.075,25.558,0.0,131100.0,0.006,0.0008369,4.184e-05,1.676,21.779,14.302,0.449,15.118,0.494,14.547,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,10,0.535,0.14,8.531,10.454,4.554,0.076,25.538,0.0,131100.0,0.006,0.0007916,3.958e-05,1.682,21.779,14.251,0.404,14.16,0.444,14.223,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,11,0.536,0.14,7.209,9.243,3.909,0.076,24.855,0.0,131100.0,0.006,0.0007529,3.765e-05,1.681,21.779,13.946,0.398,14.152,0.44,14.008,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,12,0.544,0.14,6.068,8.155,3.347,0.076,24.548,0.0,131100.0,0.006,0.0007194,3.597e-05,1.694,21.779,13.665,0.378,13.993,0.43,13.764,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,13,0.536,0.14,5.245,7.378,2.943,0.076,23.799,0.0,131100.0,0.006,0.00069,3.45e-05,1.68,21.779,13.985,0.376,13.163,0.416,13.739,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,14,0.533,0.139,4.453,6.504,2.534,0.076,23.684,0.0,131100.0,0.006,0.000664,3.32e-05,1.675,21.779,13.138,0.35,12.565,0.395,12.966,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,15,0.536,0.14,4.032,6.137,2.332,0.076,24.473,0.0,131100.0,0.006,0.0006407,3.203e-05,1.677,21.779,12.696,0.353,13.303,0.396,12.878,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,16,0.534,0.14,3.607,5.675,2.114,0.075,24.276,0.0,147700.0,0.006,0.0006197,3.098e-05,1.669,21.779,11.886,0.341,11.931,0.382,11.899,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,17,0.536,0.14,3.045,4.98,1.813,0.076,21.859,0.0,262100.0,0.006,0.0006006,3.003e-05,1.682,21.779,12.714,0.341,12.579,0.38,12.674,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,18,0.535,0.14,2.755,4.583,1.652,0.076,21.477,0.0,262100.0,0.006,0.0005832,2.916e-05,1.677,21.779,12.684,0.335,12.356,0.38,12.586,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,19,0.535,0.14,2.519,4.32,1.53,0.077,21.02,0.0,262100.0,0.006,0.0005672,2.836e-05,1.682,21.779,12.473,0.327,12.616,0.373,12.516,21.779
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,20,0.533,0.14,2.429,4.225,1.484,0.074,22.038,0.0,262100.0,0.006,0.0005525,2.762e-05,1.663,21.779,12.658,0.327,12.176,0.375,12.513,21.779
