exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,1,0.504,0.158,375.743,377.467,188.13,0.083,1643.0,34.921,65540.0,0.006,8.5e-05,4.25e-06,1.68,21.639,40.365,1.0,40.443,1.0,40.389,21.639
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,2,0.502,0.152,39.877,39.842,19.933,0.08,20.413,0.0,65540.0,0.005,0.000253,1.265e-05,1.659,21.648,39.578,1.0,39.472,1.0,39.546,21.648
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,3,0.505,0.154,37.767,37.638,18.864,0.078,28.213,0.794,65540.0,0.005,0.000421,2.105e-05,1.656,21.762,36.423,0.896,36.415,1.198,36.42,21.762
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,4,0.507,0.153,33.701,33.744,16.857,0.08,27.61,0.397,65540.0,0.005,0.000589,2.945e-05,1.669,21.762,32.049,1.0,32.3,1.0,32.124,21.762
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,5,0.508,0.152,29.441,29.818,14.777,0.079,27.454,1.19,65540.0,0.005,0.000757,3.785e-05,1.663,21.762,27.535,1.0,28.256,1.0,27.751,21.762
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,6,0.51,0.154,24.971,25.815,12.612,0.08,25.986,0.0,65540.0,0.005,0.0009246,4.623e-05,1.676,21.762,23.602,0.941,24.659,0.957,23.919,21.762
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,7,0.506,0.153,19.919,21.547,10.204,0.079,25.936,0.0,65540.0,0.005,0.0009572,4.786e-05,1.663,21.762,19.759,0.58,21.423,0.632,20.258,21.762
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,8,0.523,0.153,14.506,16.972,7.623,0.08,25.62,0.0,69700.0,0.006,0.000891,4.455e-05,1.7,21.777,16.369,0.497,17.164,0.539,16.607,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,9,0.514,0.153,11.56,14.251,6.184,0.08,26.1,0.0,131100.0,0.005,0.0008369,4.184e-05,1.684,21.777,16.237,0.457,16.905,0.512,16.438,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,10,0.514,0.153,9.529,12.387,5.193,0.079,27.788,0.0,131100.0,0.005,0.0007916,3.958e-05,1.68,21.777,13.658,0.426,14.706,0.491,13.972,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,11,0.518,0.153,8.705,12.04,4.853,0.08,32.677,0.397,131100.0,0.005,0.0007529,3.765e-05,1.692,21.777,14.519,0.426,14.654,0.482,14.559,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,12,0.532,0.153,7.365,10.632,4.173,0.08,33.875,0.397,131100.0,0.006,0.0007194,3.597e-05,1.719,21.777,13.712,0.397,13.538,0.454,13.66,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,13,0.518,0.153,6.985,10.122,3.963,0.08,43.009,1.587,131100.0,0.006,0.00069,3.45e-05,1.692,21.777,14.115,0.408,14.236,0.467,14.151,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,14,0.519,0.153,5.897,9.153,3.437,0.08,38.206,0.397,131100.0,0.006,0.000664,3.32e-05,1.692,21.777,13.235,0.382,13.159,0.446,13.212,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,15,0.52,0.153,4.922,8.075,2.934,0.08,33.38,1.587,131100.0,0.005,0.0006407,3.203e-05,1.696,21.777,13.47,0.366,12.726,0.419,13.247,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,16,0.531,0.153,4.253,7.234,2.574,0.08,33.041,1.587,147700.0,0.006,0.0006197,3.098e-05,1.714,21.777,12.755,0.362,12.296,0.404,12.618,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,17,0.534,0.154,3.873,6.862,2.385,0.081,33.321,2.778,262100.0,0.006,0.0006006,3.003e-05,1.731,21.777,12.008,0.358,12.402,0.41,12.126,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,18,0.518,0.153,3.568,6.534,2.229,0.079,31.18,0.397,262100.0,0.005,0.0005832,2.916e-05,1.685,21.777,12.906,0.345,12.597,0.407,12.813,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,19,0.561,0.154,3.366,6.328,2.127,0.08,34.659,1.587,262100.0,0.006,0.0005672,2.836e-05,1.774,21.777,13.091,0.35,12.537,0.413,12.925,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,20,0.558,0.154,3.131,5.977,1.992,0.081,30.405,1.587,262100.0,0.006,0.0005525,2.762e-05,1.778,21.777,11.979,0.342,12.124,0.397,12.023,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,21,0.551,0.153,2.738,5.405,1.769,0.08,28.964,0.397,262100.0,0.006,0.0005388,2.694e-05,1.759,21.777,12.176,0.339,12.221,0.391,12.189,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,22,0.516,0.152,2.75,5.558,1.796,0.078,33.649,2.778,262100.0,0.005,0.0005261,2.631e-05,1.676,21.777,12.607,0.346,12.56,0.407,12.593,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,23,0.513,0.153,2.481,5.088,1.632,0.08,30.475,1.984,262100.0,0.005,0.0005143,2.572e-05,1.684,21.777,12.341,0.337,12.281,0.392,12.323,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,24,0.51,0.153,2.828,5.619,1.833,0.08,45.916,4.762,312100.0,0.005,0.0005032,2.516e-05,1.676,21.777,12.057,0.346,12.371,0.403,12.151,21.777
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,25,0.511,0.153,2.515,5.141,1.652,0.08,36.747,3.571,524300.0,0.005,0.0004929,2.464e-05,1.677,21.777,12.212,0.324,11.822,0.377,12.095,21.777
