exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,1,0.263,0.11,617.796,629.412,155.32,0.196,2562.0,50.397,65540.0,0.006,8.5e-05,4.25e-06,2.351,21.779,50.548,1.0,50.757,1.0,50.61,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,2,0.263,0.107,43.097,43.074,10.773,0.191,19.141,0.0,65540.0,0.006,0.000253,1.265e-05,2.322,21.779,49.884,1.0,49.768,1.0,49.849,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,3,0.263,0.107,40.422,40.352,10.1,0.192,22.813,0.0,65540.0,0.006,0.000421,2.105e-05,2.326,21.779,44.969,1.0,45.175,1.0,45.031,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,4,0.264,0.107,34.55,34.676,8.647,0.192,27.056,0.0,65540.0,0.006,0.000589,2.945e-05,2.331,21.779,38.373,1.0,38.825,1.0,38.509,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,5,0.265,0.107,28.672,29.179,7.206,0.192,25.531,0.0,65540.0,0.006,0.000757,3.785e-05,2.336,21.779,33.717,0.983,34.689,0.98,34.009,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,6,0.265,0.107,23.367,24.423,5.921,0.191,25.527,0.0,65540.0,0.006,0.0009246,4.623e-05,2.334,21.779,28.177,0.601,29.634,0.641,28.614,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,7,0.265,0.107,17.975,19.966,4.643,0.191,26.934,0.397,65540.0,0.006,0.0009572,4.786e-05,2.327,21.779,23.737,0.457,26.388,0.533,24.532,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,8,0.266,0.107,14.354,16.745,3.768,0.191,25.107,0.0,69700.0,0.006,0.000891,4.455e-05,2.342,21.779,21.603,0.375,23.883,0.426,22.287,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,9,0.265,0.107,11.798,14.392,3.144,0.191,26.446,0.0,131100.0,0.006,0.0008369,4.184e-05,2.333,21.779,20.247,0.349,23.066,0.409,21.093,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,10,0.265,0.107,10.045,12.814,2.719,0.191,26.004,0.0,131100.0,0.006,0.0007916,3.958e-05,2.334,21.779,18.573,0.309,21.469,0.37,19.442,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,11,0.266,0.107,8.812,11.679,2.418,0.191,26.738,0.0,131100.0,0.006,0.0007529,3.765e-05,2.341,21.779,17.842,0.293,20.427,0.351,18.617,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,12,0.268,0.108,7.909,10.95,2.205,0.192,28.694,0.0,131100.0,0.006,0.0007194,3.597e-05,2.347,21.779,18.037,0.293,20.883,0.365,18.891,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,13,0.267,0.107,7.445,10.785,2.112,0.191,31.859,0.0,131100.0,0.006,0.00069,3.45e-05,2.343,21.779,18.009,0.298,21.618,0.378,19.092,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,14,0.266,0.107,6.454,9.593,1.849,0.191,30.029,0.397,131100.0,0.006,0.000664,3.32e-05,2.337,21.779,17.476,0.271,20.142,0.325,18.276,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,15,0.266,0.107,5.44,8.372,1.58,0.191,27.648,0.397,131100.0,0.006,0.0006407,3.203e-05,2.34,21.779,17.106,0.264,19.742,0.318,17.896,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,16,0.271,0.107,5.051,8.056,1.488,0.192,29.764,1.19,147700.0,0.006,0.0006197,3.098e-05,2.364,21.779,17.094,0.258,19.571,0.315,17.837,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,17,0.266,0.107,4.444,7.232,1.32,0.191,25.968,0.397,262100.0,0.006,0.0006006,3.003e-05,2.339,21.779,16.908,0.25,19.229,0.3,17.604,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,18,0.267,0.107,3.991,6.653,1.197,0.191,26.355,0.0,262100.0,0.006,0.0005832,2.916e-05,2.341,21.779,16.815,0.247,18.949,0.297,17.455,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,19,0.267,0.107,3.687,6.254,1.114,0.191,26.221,0.397,262100.0,0.006,0.0005672,2.836e-05,2.346,21.779,16.589,0.243,18.688,0.29,17.219,21.779
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,20,0.266,0.107,4.155,7.653,1.301,0.191,31.281,0.397,262100.0,0.006,0.0005525,2.762e-05,2.335,21.779,16.914,0.247,19.385,0.317,17.655,21.779
