exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,1,0.265,0.118,633.957,645.882,159.384,0.213,2637.0,50.0,65540.0,0.006,8.5e-05,4.25e-06,2.473,21.777,50.494,1.0,50.624,1.0,50.533,21.777
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,2,0.267,0.115,43.086,43.065,10.77,0.208,18.302,0.0,65540.0,0.006,0.000253,1.265e-05,2.445,21.777,49.776,1.0,49.6,1.0,49.723,21.777
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,3,0.27,0.115,40.366,40.295,10.086,0.208,23.444,0.397,65540.0,0.006,0.000421,2.105e-05,2.464,21.777,45.983,1.0,45.781,1.0,45.922,21.777
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,4,0.27,0.115,34.56,34.691,8.65,0.208,25.143,0.0,65540.0,0.006,0.000589,2.945e-05,2.466,21.777,39.075,1.0,39.537,1.0,39.213,21.777
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,5,0.27,0.115,28.776,29.302,7.233,0.208,26.153,0.0,65540.0,0.006,0.000757,3.785e-05,2.462,21.777,34.123,0.987,35.176,0.982,34.439,21.777
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,6,0.275,0.115,23.511,24.636,5.962,0.208,25.834,0.0,65540.0,0.006,0.0009246,4.623e-05,2.482,21.777,28.255,0.588,29.986,0.624,28.775,21.777
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,7,0.274,0.115,17.95,19.96,4.638,0.208,25.871,0.0,65540.0,0.006,0.0009572,4.786e-05,2.481,21.777,22.919,0.423,25.289,0.484,23.63,21.777
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,8,0.268,0.115,14.365,16.851,3.778,0.208,25.195,0.0,69700.0,0.006,0.000891,4.455e-05,2.456,21.777,21.797,0.381,24.373,0.434,22.57,21.777
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,9,0.269,0.115,11.883,14.549,3.171,0.208,25.534,0.0,131100.0,0.006,0.0008369,4.184e-05,2.459,21.777,19.536,0.321,22.342,0.384,20.378,21.777
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,10,0.271,0.115,10.335,13.207,2.799,0.208,26.968,0.0,131100.0,0.006,0.0007916,3.958e-05,2.471,21.777,19.323,0.325,22.26,0.398,20.205,21.777
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,11,0.27,0.116,8.906,11.859,2.448,0.208,27.515,0.0,131100.0,0.006,0.0007529,3.765e-05,2.466,21.777,18.591,0.302,21.217,0.353,19.379,21.777
