exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,1,0.53,0.047,202.724,239.693,106.907,0.033,363.101,58.333,65540.0,0.005,8.5e-05,4.25e-06,1.289,21.779,95.221,0.999,112.986,0.997,100.551,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,2,0.514,0.046,81.647,83.163,41.051,0.032,63.236,13.492,65540.0,0.005,0.000253,1.265e-05,1.256,21.779,86.786,0.997,97.64,0.994,90.042,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,3,0.517,0.046,72.963,75.021,36.79,0.032,70.286,18.651,65540.0,0.005,0.000421,2.105e-05,1.257,21.779,74.472,0.965,81.367,0.989,76.541,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,4,0.518,0.046,62.537,66.773,31.904,0.033,57.951,6.349,65540.0,0.005,0.000589,2.945e-05,1.263,21.779,65.85,0.888,72.142,0.937,67.738,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,5,0.517,0.046,53.949,60.82,28.005,0.033,57.998,3.968,65540.0,0.005,0.000757,3.785e-05,1.258,21.779,61.059,0.745,69.254,0.861,63.518,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,6,0.517,0.046,47.105,56.012,24.889,0.033,57.859,1.587,65540.0,0.005,0.0009246,4.623e-05,1.261,21.779,57.099,0.698,67.983,0.857,60.364,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,7,0.52,0.046,39.98,50.895,21.627,0.032,55.418,0.0,65540.0,0.005,0.0009572,4.786e-05,1.264,21.779,53.351,0.592,65.34,0.76,56.947,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,8,0.519,0.046,33.794,46.165,18.753,0.033,54.741,0.397,69700.0,0.005,0.000891,4.455e-05,1.263,21.779,52.616,0.545,65.257,0.713,56.409,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,9,0.518,0.046,28.612,42.014,16.316,0.033,54.047,0.0,131100.0,0.005,0.0008369,4.184e-05,1.263,21.779,52.709,0.521,65.395,0.676,56.515,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,10,0.519,0.046,24.555,38.378,14.351,0.033,55.376,0.0,131100.0,0.005,0.0007916,3.958e-05,1.262,21.779,53.547,0.509,65.607,0.662,57.165,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,11,0.518,0.046,21.05,35.105,12.633,0.033,55.198,0.0,131100.0,0.005,0.0007529,3.765e-05,1.262,21.779,54.859,0.504,66.312,0.654,58.295,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,12,0.516,0.046,18.04,32.061,11.123,0.032,55.622,0.0,131100.0,0.005,0.0007194,3.597e-05,1.259,21.779,58.075,0.497,67.461,0.644,60.891,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,13,0.52,0.046,15.801,29.618,9.973,0.033,56.236,0.0,131100.0,0.005,0.00069,3.45e-05,1.266,21.779,58.995,0.496,68.513,0.632,61.85,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,14,0.52,0.046,13.749,27.205,8.893,0.033,55.302,0.0,131100.0,0.005,0.000664,3.32e-05,1.266,21.779,62.064,0.494,69.674,0.627,64.347,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,15,0.522,0.046,11.966,25.065,7.948,0.033,53.905,0.0,131100.0,0.005,0.0006407,3.203e-05,1.27,21.779,65.218,0.49,71.371,0.627,67.064,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,16,0.522,0.046,10.699,23.205,7.226,0.033,54.415,0.0,147700.0,0.005,0.0006197,3.098e-05,1.27,21.779,67.501,0.491,72.731,0.621,69.07,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,17,0.522,0.046,9.688,21.6,6.631,0.032,53.596,0.0,262100.0,0.005,0.0006006,3.003e-05,1.271,21.779,68.896,0.486,73.485,0.62,70.273,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,18,0.521,0.046,8.873,20.321,6.154,0.033,53.234,0.0,262100.0,0.005,0.0005832,2.916e-05,1.267,21.779,69.36,0.481,74.195,0.614,70.811,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,19,0.523,0.046,8.268,19.114,5.761,0.032,52.602,0.0,262100.0,0.005,0.0005672,2.836e-05,1.27,21.779,72.201,0.484,76.261,0.617,73.419,21.779
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,20,0.521,0.046,7.474,17.751,5.279,0.032,51.551,0.0,262100.0,0.005,0.0005525,2.762e-05,1.269,21.779,73.992,0.478,77.477,0.609,75.037,21.779
