exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,1,0.527,0.051,128.041,133.102,64.78,0.039,408.288,42.857,65540.0,0.005,8.5e-05,4.25e-06,1.299,21.779,85.574,0.995,85.614,0.995,85.586,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,2,0.508,0.047,70.82,71.596,35.526,0.033,94.618,35.714,65540.0,0.005,0.000253,1.265e-05,1.249,21.779,66.993,0.929,69.032,0.954,67.605,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,3,0.51,0.047,55.836,58.213,28.275,0.033,69.739,8.73,65540.0,0.005,0.000421,2.105e-05,1.247,21.779,57.013,0.725,59.078,0.805,57.633,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,4,0.513,0.047,46.558,49.758,23.759,0.033,61.546,3.571,65540.0,0.005,0.000589,2.945e-05,1.257,21.779,51.383,0.651,55.038,0.718,52.48,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,5,0.512,0.047,39.484,43.533,20.349,0.033,57.667,1.19,65540.0,0.005,0.000757,3.785e-05,1.254,21.779,48.976,0.56,53.803,0.668,50.424,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,6,0.513,0.047,33.39,38.033,17.392,0.033,55.914,0.397,65540.0,0.005,0.0009246,4.623e-05,1.258,21.779,48.019,0.521,52.986,0.626,49.509,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,7,0.514,0.047,26.707,31.734,14.107,0.033,51.494,0.0,65540.0,0.005,0.0009572,4.786e-05,1.258,21.779,47.183,0.475,52.572,0.551,48.799,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,8,0.515,0.047,20.753,25.791,11.132,0.033,47.969,0.397,69700.0,0.005,0.000891,4.455e-05,1.259,21.779,47.35,0.462,52.555,0.53,48.912,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,9,0.516,0.047,16.246,21.046,8.843,0.033,43.832,0.0,131100.0,0.005,0.0008369,4.184e-05,1.263,21.779,50.704,0.446,55.287,0.516,52.079,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,10,0.516,0.047,13.12,17.643,7.238,0.033,42.582,0.0,131100.0,0.005,0.0007916,3.958e-05,1.262,21.779,53.653,0.449,57.14,0.509,54.699,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,11,0.514,0.047,11.043,15.277,6.157,0.033,41.186,0.0,131100.0,0.005,0.0007529,3.765e-05,1.259,21.779,56.502,0.44,59.065,0.503,57.271,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,12,0.517,0.047,9.562,13.416,5.359,0.033,39.844,0.0,131100.0,0.005,0.0007194,3.597e-05,1.265,21.779,58.406,0.435,60.921,0.498,59.161,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,13,0.516,0.047,8.449,12.084,4.77,0.033,38.383,0.0,131100.0,0.005,0.00069,3.45e-05,1.263,21.779,60.154,0.434,62.431,0.497,60.837,21.779
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,14,0.515,0.047,7.551,10.997,4.292,0.033,36.837,0.0,131100.0,0.005,0.000664,3.32e-05,1.261,21.779,61.955,0.431,63.929,0.492,62.547,21.779
