exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,1,0.499,0.135,366.997,605.19,219.227,0.03,9038.0,100.0,65540.0,0.001,8.5e-05,4.25e-06,1.488,21.648,220.696,0.853,337.966,0.935,255.877,21.648
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,2,0.498,0.13,235.412,368.379,137.651,0.023,2029.0,100.0,65540.0,0.001,0.000253,1.265e-05,1.47,21.648,219.191,0.852,350.553,0.912,258.6,21.648
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,3,0.498,0.13,111.856,149.802,61.62,0.022,718.857,94.444,65540.0,0.001,0.000421,2.105e-05,1.478,21.752,102.258,0.883,111.385,0.918,104.996,21.752
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,4,0.501,0.13,86.143,94.812,44.372,0.022,208.757,90.079,65540.0,0.001,0.000589,2.945e-05,1.481,21.752,95.457,0.919,104.163,0.916,98.068,21.752
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,5,0.5,0.13,85.388,92.14,43.707,0.022,187.322,84.127,65540.0,0.001,0.000757,3.785e-05,1.481,21.752,94.727,0.892,103.747,0.91,97.433,21.752
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,6,0.5,0.13,84.304,90.077,43.018,0.022,190.34,80.952,65540.0,0.001,0.0009246,4.623e-05,1.478,21.777,95.425,0.948,104.081,0.929,98.022,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,7,0.504,0.13,81.627,89.288,41.963,0.022,175.089,84.127,65540.0,0.001,0.0009572,4.786e-05,1.476,21.777,90.714,0.879,109.593,0.911,96.377,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,8,0.5,0.13,78.315,89.202,40.79,0.022,176.401,86.508,69700.0,0.001,0.000891,4.455e-05,1.486,21.777,88.413,0.879,107.27,0.901,94.07,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,9,0.502,0.131,74.086,87.563,39.064,0.022,135.972,66.667,131100.0,0.001,0.0008369,4.184e-05,1.477,21.777,81.371,0.89,114.329,0.939,91.258,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,10,0.508,0.13,69.847,87.347,37.549,0.023,134.063,67.063,131100.0,0.001,0.0007916,3.958e-05,1.502,21.777,80.109,0.918,111.499,0.936,89.526,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,11,0.508,0.13,65.499,86.875,35.956,0.023,130.862,67.46,131100.0,0.001,0.0007529,3.765e-05,1.499,21.777,75.737,0.878,116.93,0.943,88.095,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,12,0.51,0.13,61.446,86.582,34.493,0.023,116.468,56.349,131100.0,0.001,0.0007194,3.597e-05,1.502,21.777,69.564,0.808,119.55,0.958,84.559,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,13,0.512,0.131,57.704,86.577,33.183,0.023,124.992,66.27,131100.0,0.001,0.00069,3.45e-05,1.508,21.777,66.981,0.776,111.391,0.933,80.304,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,14,0.512,0.13,54.738,86.081,32.07,0.023,105.808,47.222,131100.0,0.001,0.000664,3.32e-05,1.508,21.777,63.434,0.718,107.759,0.948,76.732,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,15,0.51,0.13,51.841,86.036,31.05,0.023,110.012,47.222,131100.0,0.001,0.0006407,3.203e-05,1.501,21.777,63.974,0.715,114.276,0.885,79.065,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,16,0.512,0.131,49.182,85.814,30.086,0.022,109.373,48.016,147700.0,0.001,0.0006197,3.098e-05,1.5,21.777,59.132,0.676,106.803,0.913,73.433,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,17,0.507,0.13,47.061,85.397,29.281,0.023,101.288,38.889,262100.0,0.001,0.0006006,3.003e-05,1.499,21.777,59.532,0.657,109.111,0.906,74.405,21.777
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,18,0.508,0.131,45.153,85.161,28.578,0.022,101.095,40.476,262100.0,0.001,0.0005832,2.916e-05,1.497,21.777,57.178,0.633,103.158,0.915,70.972,21.777
