exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,1,0.552,0.146,338.296,699.545,223.335,0.079,9628.0,100.0,65540.0,0.003,8.5e-05,4.25e-06,1.701,21.779,307.213,0.898,487.593,1.624,361.327,21.779
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,2,0.52,0.146,132.961,222.159,79.86,0.079,1076.0,95.238,65540.0,0.003,0.000253,1.265e-05,1.637,21.779,128.488,0.989,305.633,0.917,181.631,21.779
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,3,0.518,0.146,86.873,87.751,43.568,0.079,210.816,78.175,65540.0,0.003,0.000421,2.105e-05,1.639,21.779,108.539,0.979,271.797,0.918,157.516,21.779
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,4,0.52,0.146,85.898,86.7,43.069,0.079,161.383,73.413,65540.0,0.003,0.000589,2.945e-05,1.641,21.779,98.604,0.97,115.945,0.943,103.806,21.779
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,5,0.52,0.146,84.449,86.249,42.494,0.078,136.08,66.667,65540.0,0.003,0.000757,3.785e-05,1.641,21.779,96.354,0.947,158.816,0.935,115.093,21.779
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,6,0.514,0.145,83.403,85.301,41.986,0.078,149.028,68.651,65540.0,0.003,0.0009246,4.623e-05,1.626,21.779,93.568,0.937,103.844,0.943,96.65,21.779
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,7,0.52,0.145,80.115,80.988,40.188,0.078,132.474,65.476,65540.0,0.003,0.0009572,4.786e-05,1.631,21.779,83.448,0.965,86.659,0.995,84.412,21.779
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,8,0.519,0.146,70.003,72.152,35.324,0.079,122.899,60.714,69700.0,0.003,0.000891,4.455e-05,1.644,21.779,72.064,0.926,73.477,0.991,72.488,21.779
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,9,0.516,0.146,61.6,64.673,31.261,0.078,104.03,44.841,131100.0,0.003,0.0008369,4.184e-05,1.628,21.779,64.773,0.809,69.425,0.978,66.168,21.779
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,10,0.53,0.146,54.768,59.36,28.073,0.079,87.342,27.778,131100.0,0.003,0.0007916,3.958e-05,1.667,21.779,59.416,0.734,64.916,0.955,61.066,21.779
