exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,1,0.583,0.13,256.071,572.704,175.531,0.029,5858.0,100.0,65540.0,0.003,8.5e-05,1.656,21.779,124.633,0.961,711.406,1.017,300.665,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,2,0.546,0.13,87.888,167.199,55.84,0.029,537.891,92.46,65540.0,0.003,0.000253,1.583,21.779,95.361,0.943,134.682,0.842,107.158,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,3,0.546,0.129,85.618,96.516,44.444,0.029,137.678,68.254,65540.0,0.003,0.000421,1.591,21.779,94.457,0.937,103.566,0.966,97.19,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,4,0.555,0.129,83.151,93.78,43.17,0.029,118.441,55.556,65540.0,0.003,0.000589,1.607,21.779,89.324,0.966,107.371,0.983,94.738,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,5,0.557,0.129,79.641,92.44,41.74,0.029,111.133,49.603,65540.0,0.003,0.000757,1.612,21.779,88.591,0.965,119.63,0.995,97.903,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,6,0.556,0.129,78.939,93.595,41.668,0.029,112.497,46.429,65540.0,0.003,0.0009246,1.606,21.779,88.341,0.914,227.997,1.0,130.237,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,7,0.554,0.129,78.466,93.603,41.504,0.028,122.571,60.317,65540.0,0.003,0.0009572,1.593,21.779,93.8,0.87,131.417,0.969,105.085,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,8,0.554,0.129,78.303,92.972,41.352,0.028,114.402,57.937,69700.0,0.003,0.000891,1.61,21.779,87.915,0.886,181.804,0.998,116.082,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,9,0.565,0.13,77.256,92.142,40.861,0.028,106.212,48.016,131100.0,0.003,0.0008369,1.621,21.779,86.298,0.896,128.4,0.997,98.929,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,10,0.565,0.13,77.431,92.43,40.966,0.029,105.931,47.619,131100.0,0.003,0.0007916,1.632,21.779,87.892,0.883,109.703,0.985,94.435,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,11,0.567,0.13,78.241,95.309,41.681,0.029,165.165,69.841,131100.0,0.003,0.0007529,1.633,21.779,95.984,0.89,98.924,1.0,96.866,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,12,0.56,0.13,78.985,87.951,40.837,0.029,173.942,78.571,131100.0,0.003,0.0007194,1.617,21.779,88.756,0.906,103.133,1.0,93.069,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,13,0.56,0.13,78.377,87.374,40.538,0.028,148.238,70.238,131100.0,0.003,0.00069,1.619,21.779,86.102,0.863,98.194,0.966,89.73,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,14,0.568,0.129,77.86,87.079,40.313,0.028,143.873,72.222,131100.0,0.003,0.000664,1.636,21.779,84.998,0.892,101.449,0.966,89.933,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,15,0.562,0.129,77.677,87.271,40.277,0.028,154.095,69.841,131100.0,0.003,0.0006407,1.619,21.779,86.522,0.911,103.251,0.961,91.54,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,16,0.563,0.13,77.212,86.853,40.052,0.028,143.817,66.667,147700.0,0.003,0.0006197,1.618,21.779,84.341,0.888,101.19,0.965,89.396,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,17,0.567,0.13,76.946,86.531,39.911,0.029,142.037,62.698,262100.0,0.003,0.0006006,1.635,21.779,84.656,0.898,100.411,0.966,89.383,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,18,0.56,0.13,76.747,86.358,39.815,0.029,137.801,64.286,262100.0,0.003,0.0005832,1.618,21.779,84.793,0.886,96.856,0.963,88.412,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,19,0.559,0.129,76.667,86.45,39.801,0.028,132.28,59.524,262100.0,0.003,0.0005672,1.62,21.779,85.962,0.895,98.0,0.945,89.573,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,20,0.565,0.13,76.305,86.22,39.64,0.029,116.505,48.81,262100.0,0.003,0.0005525,1.621,21.779,83.834,0.877,100.16,0.95,88.731,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,21,0.56,0.13,76.329,86.266,39.655,0.028,135.782,61.111,262100.0,0.003,0.0005388,1.615,21.779,83.56,0.848,97.162,0.944,87.64,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,22,0.56,0.13,76.76,86.249,39.803,0.028,137.502,64.286,262100.0,0.003,0.0005261,1.624,21.779,84.1,0.889,95.915,0.94,87.645,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,23,0.563,0.13,76.363,85.972,39.623,0.029,130.349,55.556,262100.0,0.003,0.0005143,1.624,21.779,83.942,0.893,98.836,0.949,88.41,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,24,0.572,0.13,76.216,85.896,39.56,0.029,141.353,62.302,312100.0,0.003,0.0005032,1.634,21.779,84.763,0.873,100.037,0.948,89.345,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,25,0.564,0.13,76.316,85.524,39.539,0.028,121.482,49.206,524300.0,0.003,0.0004929,1.634,21.779,83.938,0.892,98.508,0.951,88.309,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,26,0.561,0.129,76.738,85.425,39.672,0.029,131.6,59.921,524300.0,0.003,0.0004831,1.622,21.779,84.899,0.875,97.864,0.964,88.789,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,27,0.566,0.13,76.492,85.467,39.592,0.029,131.79,55.952,524300.0,0.003,0.0004739,1.636,21.779,83.496,0.891,96.027,0.951,87.255,21.779
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,28,0.558,0.13,76.163,84.766,39.372,0.028,117.211,48.413,524300.0,0.003,0.0004652,1.616,21.779,84.168,0.875,96.637,0.961,87.909,21.779
