exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,1,0.519,0.131,340.073,706.869,225.056,0.028,8383.0,100.0,65540.0,0.003,8.5e-05,4.25e-06,1.529,21.779,260.682,0.845,623.134,2.955,369.418,21.779
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,2,0.505,0.131,212.139,408.491,135.522,0.027,2206.0,100.0,65540.0,0.003,0.000253,1.265e-05,1.504,21.779,136.231,0.923,289.021,0.901,182.068,21.779
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,3,0.503,0.13,87.131,105.114,46.263,0.027,273.228,92.857,65540.0,0.003,0.000421,2.105e-05,1.506,21.779,95.453,0.917,102.188,0.954,97.474,21.779
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,4,0.503,0.13,85.95,92.573,43.968,0.027,234.879,89.286,65540.0,0.003,0.000589,2.945e-05,1.502,21.779,93.971,0.902,97.965,0.944,95.169,21.779
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,5,0.511,0.131,84.678,90.68,43.239,0.027,178.484,82.54,65540.0,0.003,0.000757,3.785e-05,1.523,21.779,91.928,0.898,99.431,0.956,94.179,21.779
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,6,0.511,0.13,82.78,89.876,42.454,0.027,180.481,81.746,65540.0,0.003,0.0009246,4.623e-05,1.518,21.779,90.98,0.892,96.513,0.927,92.64,21.779
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,7,0.509,0.13,79.694,89.121,41.261,0.027,160.192,74.206,65540.0,0.003,0.0009572,4.786e-05,1.505,21.779,85.739,0.899,96.928,0.912,89.096,21.779
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,8,0.514,0.13,75.194,88.429,39.582,0.027,136.317,68.254,69700.0,0.003,0.000891,4.455e-05,1.533,21.779,78.969,0.886,96.902,0.904,84.349,21.779
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,9,0.513,0.131,69.708,87.539,37.529,0.027,123.954,61.905,131100.0,0.003,0.0008369,4.184e-05,1.518,21.779,73.174,0.843,97.079,0.942,80.345,21.779
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,10,0.511,0.131,64.781,87.024,35.727,0.027,114.384,52.778,131100.0,0.003,0.0007916,3.958e-05,1.527,21.779,69.533,0.815,96.832,0.94,77.723,21.779
