exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,1,0.596,0.13,210.764,578.127,160.486,0.034,6498.0,100.0,65540.0,0.005,8.5e-05,1.701,21.779,100.869,0.99,339.323,1.127,172.405,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,2,0.571,0.13,87.251,178.984,57.385,0.034,609.459,90.079,65540.0,0.004,0.000253,1.651,21.779,102.758,0.949,310.938,0.918,165.212,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,3,0.586,0.13,86.035,87.583,43.25,0.034,178.279,75.397,65540.0,0.005,0.000421,1.689,21.779,96.567,0.966,114.455,0.936,101.933,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,4,0.574,0.13,82.833,86.933,42.031,0.034,163.642,74.206,65540.0,0.004,0.000589,1.661,21.779,89.905,0.966,110.062,0.994,95.952,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,5,0.581,0.13,80.328,86.553,41.098,0.034,129.875,53.968,65540.0,0.005,0.000757,1.679,21.779,89.145,0.966,105.138,0.973,93.943,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,6,0.58,0.13,79.662,86.669,40.882,0.034,127.695,57.143,65540.0,0.005,0.0009246,1.674,21.779,89.733,0.964,105.488,0.929,94.46,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,7,0.573,0.129,79.198,86.747,40.732,0.033,149.305,69.841,65540.0,0.004,0.0009572,1.648,21.779,86.2,0.87,103.535,0.927,91.4,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,8,0.574,0.13,79.218,86.727,40.735,0.034,159.395,73.016,69700.0,0.004,0.000891,1.669,21.779,88.005,0.892,205.528,0.913,123.262,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,9,0.584,0.13,78.72,86.396,40.512,0.034,129.285,59.127,131100.0,0.005,0.0008369,1.678,21.779,85.487,0.876,174.117,0.925,112.076,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,10,0.575,0.13,77.721,85.729,40.062,0.033,128.238,61.111,131100.0,0.004,0.0007916,1.67,21.779,84.896,0.885,123.906,0.912,96.599,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,11,0.581,0.13,77.289,85.736,39.912,0.034,156.971,71.032,131100.0,0.004,0.0007529,1.68,21.779,85.834,0.879,95.774,0.913,88.816,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,12,0.586,0.13,77.479,85.02,39.871,0.035,123.782,53.968,131100.0,0.005,0.0007194,1.689,21.779,85.0,0.894,96.439,0.958,88.432,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,13,0.577,0.13,78.067,86.112,40.24,0.034,151.809,64.683,131100.0,0.004,0.00069,1.674,21.779,86.526,0.879,100.271,0.969,90.649,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,14,0.572,0.129,78.155,84.929,40.093,0.033,122.555,58.73,131100.0,0.004,0.000664,1.661,21.779,85.497,0.887,95.301,0.945,88.438,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,15,0.579,0.13,77.34,84.591,39.757,0.034,124.415,54.762,131100.0,0.005,0.0006407,1.674,21.779,84.715,0.885,94.86,0.942,87.758,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,16,0.581,0.13,77.18,84.777,39.73,0.034,132.199,64.286,147700.0,0.004,0.0006197,1.673,21.779,85.34,0.876,96.339,0.987,88.64,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,17,0.581,0.13,76.947,84.58,39.618,0.034,127.559,62.698,262100.0,0.004,0.0006006,1.681,21.779,84.24,0.899,97.036,0.977,88.079,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,18,0.578,0.13,76.927,84.277,39.566,0.034,111.06,51.19,262100.0,0.004,0.0005832,1.673,21.779,84.819,0.871,94.353,0.949,87.679,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,19,0.586,0.13,76.416,83.703,39.301,0.034,117.688,50.794,262100.0,0.005,0.0005672,1.696,21.779,84.125,0.891,91.55,0.992,86.352,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,20,0.579,0.13,76.157,83.38,39.162,0.034,118.254,57.54,262100.0,0.004,0.0005525,1.666,21.779,83.964,0.886,100.85,0.927,89.029,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,21,0.579,0.13,76.321,83.208,39.194,0.034,130.886,62.302,262100.0,0.005,0.0005388,1.671,21.779,83.606,0.872,106.421,0.941,90.45,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,22,0.585,0.13,77.737,83.504,39.733,0.034,124.276,57.143,262100.0,0.005,0.0005261,1.694,21.779,84.892,0.894,95.679,0.997,88.128,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,23,0.58,0.13,77.166,83.761,39.572,0.033,128.872,62.302,262100.0,0.005,0.0005143,1.676,21.779,83.866,0.892,92.511,0.996,86.46,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,24,0.574,0.131,76.932,83.332,39.426,0.033,131.132,67.46,312100.0,0.004,0.0005032,1.656,21.779,83.984,0.865,92.636,0.989,86.579,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,25,0.583,0.131,77.943,83.082,39.742,0.034,122.822,59.127,524300.0,0.005,0.0004929,1.69,21.779,85.851,0.866,91.19,0.98,87.453,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,26,0.577,0.13,77.561,82.81,39.568,0.034,119.36,57.54,524300.0,0.004,0.0004831,1.671,21.779,84.374,0.873,91.973,0.906,86.654,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,27,0.578,0.13,76.379,83.243,39.219,0.034,126.272,59.127,524300.0,0.004,0.0004739,1.677,21.779,83.806,0.883,91.367,0.981,86.074,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,28,0.58,0.131,76.436,82.497,39.127,0.034,120.328,56.746,524300.0,0.005,0.0004652,1.678,21.779,84.455,0.876,91.044,0.978,86.431,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,29,0.577,0.13,76.399,82.204,39.07,0.033,114.671,50.397,524300.0,0.004,0.000457,1.669,21.779,84.226,0.882,91.68,0.984,86.462,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,30,0.57,0.131,76.331,82.459,39.085,0.033,113.714,48.016,524300.0,0.004,0.0004492,1.656,21.779,83.797,0.875,91.258,0.967,86.035,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,31,0.575,0.13,76.33,83.012,39.167,0.034,114.968,51.984,524300.0,0.005,0.0004417,1.666,21.779,83.85,0.888,91.44,0.978,86.127,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,32,0.575,0.13,75.917,82.336,38.921,0.034,120.019,50.397,657400.0,0.005,0.0004347,1.671,21.779,84.159,0.877,91.486,0.965,86.357,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,33,0.58,0.131,76.055,82.027,38.923,0.034,117.441,55.159,1049000.0,0.004,0.0004279,1.673,21.779,83.876,0.859,93.909,0.93,86.886,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,34,0.575,0.13,75.885,81.715,38.817,0.033,110.699,48.81,1049000.0,0.005,0.0004215,1.673,21.779,84.257,0.879,92.155,0.913,86.627,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,35,0.577,0.13,75.822,81.707,38.794,0.033,111.364,47.619,1049000.0,0.004,0.0004153,1.67,21.779,83.532,0.885,90.293,0.951,85.56,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,36,0.574,0.13,75.759,81.957,38.809,0.033,116.058,50.0,1049000.0,0.004,0.0004095,1.666,21.779,84.717,0.893,90.332,0.969,86.402,21.779
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,37,0.574,0.13,75.628,82.076,38.781,0.033,114.596,53.175,1049000.0,0.004,0.0004038,1.66,21.779,83.457,0.866,90.832,0.925,85.67,21.779
