exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,1,0.522,0.131,329.645,538.038,196.082,0.031,7707.0,100.0,65540.0,0.004,8.5e-05,4.25e-06,1.553,21.779,327.675,0.941,606.094,0.89,411.201,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,2,0.51,0.131,184.224,111.154,81.152,0.032,1613.0,98.413,65540.0,0.004,0.000253,1.265e-05,1.531,21.779,119.03,0.872,119.955,0.96,119.307,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,3,0.509,0.131,86.86,95.889,44.784,0.032,236.866,84.524,65540.0,0.004,0.000421,2.105e-05,1.537,21.779,106.643,0.892,155.406,0.997,121.272,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,4,0.506,0.13,85.835,92.755,43.955,0.032,173.56,73.016,65540.0,0.004,0.000589,2.945e-05,1.527,21.779,112.444,0.923,153.872,0.996,124.872,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,5,0.512,0.131,85.06,91.276,43.462,0.032,138.737,63.492,65540.0,0.004,0.000757,3.785e-05,1.542,21.779,95.784,0.946,108.117,0.991,99.484,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,6,0.509,0.13,83.731,89.688,42.759,0.032,137.644,65.873,65540.0,0.004,0.0009246,4.623e-05,1.531,21.779,92.414,0.965,109.232,0.976,97.46,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,7,0.511,0.13,81.868,88.637,41.949,0.031,123.91,59.127,65540.0,0.004,0.0009572,4.786e-05,1.526,21.779,94.134,0.961,108.602,0.994,98.475,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,8,0.515,0.131,78.82,87.56,40.721,0.031,100.472,39.683,69700.0,0.004,0.000891,4.455e-05,1.554,21.779,99.938,0.892,107.528,0.994,102.215,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,9,0.51,0.131,75.379,87.049,39.44,0.031,85.765,26.587,131100.0,0.004,0.0008369,4.184e-05,1.53,21.779,83.85,0.931,107.339,0.978,90.897,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,10,0.513,0.131,72.137,86.638,38.244,0.032,78.177,13.492,131100.0,0.004,0.0007916,3.958e-05,1.548,21.779,79.371,0.896,104.054,0.963,86.776,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,11,0.517,0.131,68.476,86.435,36.932,0.032,85.129,21.825,131100.0,0.004,0.0007529,3.765e-05,1.554,21.779,74.917,0.875,100.685,0.955,82.647,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,12,0.517,0.131,64.665,86.139,35.554,0.032,79.301,13.889,131100.0,0.004,0.0007194,3.597e-05,1.552,21.779,72.297,0.833,100.175,0.952,80.661,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,13,0.517,0.131,61.125,85.895,34.278,0.032,78.578,9.524,131100.0,0.004,0.00069,3.45e-05,1.555,21.779,67.676,0.805,100.61,0.943,77.556,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,14,0.54,0.131,58.224,85.655,33.227,0.033,80.209,11.508,131100.0,0.004,0.000664,3.32e-05,1.602,21.779,65.873,0.774,99.832,0.952,76.061,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,15,0.524,0.131,55.403,85.319,32.189,0.031,81.288,14.286,131100.0,0.004,0.0006407,3.203e-05,1.565,21.779,63.91,0.74,99.826,0.953,74.685,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,16,0.522,0.131,52.596,84.989,31.157,0.032,82.101,15.873,147700.0,0.004,0.0006197,3.098e-05,1.558,21.779,59.337,0.684,94.726,0.936,69.954,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,17,0.517,0.131,50.207,84.74,30.283,0.032,80.622,12.698,262100.0,0.004,0.0006006,3.003e-05,1.557,21.779,57.351,0.657,99.991,0.952,70.143,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,18,0.513,0.131,47.835,84.492,29.416,0.031,80.432,10.317,262100.0,0.004,0.0005832,2.916e-05,1.545,21.779,55.561,0.633,99.396,0.944,68.711,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,19,0.519,0.131,45.801,84.131,28.65,0.032,77.798,9.127,262100.0,0.004,0.0005672,2.836e-05,1.561,21.779,55.086,0.597,100.699,0.947,68.77,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,20,0.52,0.131,44.045,83.986,28.014,0.032,79.297,7.54,262100.0,0.004,0.0005525,2.762e-05,1.551,21.779,52.707,0.576,98.905,0.944,66.567,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,21,0.513,0.131,42.725,83.94,27.545,0.031,82.483,15.079,262100.0,0.004,0.0005388,2.694e-05,1.541,21.779,54.13,0.572,96.669,0.931,66.892,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,22,0.518,0.131,41.07,83.425,26.888,0.032,78.392,9.127,262100.0,0.004,0.0005261,2.631e-05,1.561,21.779,51.891,0.555,99.981,0.939,66.318,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,23,0.518,0.131,39.716,83.431,26.415,0.032,78.794,9.127,262100.0,0.004,0.0005143,2.572e-05,1.554,21.779,49.782,0.538,96.343,0.942,63.751,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,24,0.517,0.131,38.532,83.18,25.963,0.031,78.486,7.54,312100.0,0.004,0.0005032,2.516e-05,1.543,21.779,51.135,0.534,99.821,0.946,65.741,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,25,0.518,0.132,37.492,82.931,25.562,0.032,76.876,5.952,524300.0,0.004,0.0004929,2.464e-05,1.562,21.779,50.547,0.529,94.978,0.925,63.876,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,26,0.518,0.131,36.427,82.779,25.166,0.031,78.283,8.73,524300.0,0.004,0.0004831,2.416e-05,1.555,21.779,48.762,0.516,97.668,0.939,63.434,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,27,0.516,0.131,35.289,82.504,24.727,0.032,75.152,4.762,524300.0,0.004,0.0004739,2.37e-05,1.556,21.779,51.174,0.515,99.216,0.923,65.587,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,28,0.519,0.132,34.672,82.51,24.512,0.032,78.801,9.921,524300.0,0.004,0.0004652,2.326e-05,1.558,21.779,48.292,0.5,96.075,0.942,62.627,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,29,0.515,0.131,33.613,82.249,24.102,0.031,76.293,9.524,524300.0,0.004,0.000457,2.285e-05,1.546,21.779,47.713,0.495,95.66,0.945,62.097,21.779
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,30,0.512,0.131,32.7,81.977,23.742,0.031,75.763,5.952,524300.0,0.004,0.0004492,2.246e-05,1.542,21.779,48.76,0.493,94.306,0.931,62.424,21.779
