exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,1,0.496,0.146,233.617,238.166,117.491,0.058,1075.0,82.051,65540.0,0.005,7.9e-05,3.95e-06,1.588,21.744,91.713,1.0,91.874,1.0,91.761,21.744
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,2,0.497,0.142,82.861,82.784,41.419,0.054,108.06,42.308,65540.0,0.005,0.000235,1.175e-05,1.574,21.744,92.212,0.984,93.019,0.983,92.454,21.744
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,3,0.503,0.142,68.814,69.451,34.502,0.053,101.356,37.607,65540.0,0.005,0.000391,1.955e-05,1.581,21.771,88.71,0.947,89.84,0.953,89.049,21.771
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,4,0.504,0.142,55.051,56.274,27.709,0.053,84.859,26.923,65540.0,0.005,0.000547,2.735e-05,1.582,21.771,87.62,0.871,89.713,0.89,88.248,21.771
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,5,0.523,0.141,48.108,49.961,24.332,0.055,76.695,17.521,65540.0,0.005,0.000703,3.515e-05,1.63,21.771,96.46,0.812,99.715,0.831,97.437,21.771
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,6,0.533,0.143,42.872,45.144,21.777,0.054,63.137,5.983,65540.0,0.006,0.000859,4.295e-05,1.645,21.775,95.824,0.79,97.102,0.809,96.207,21.775
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,7,0.52,0.143,38.852,41.512,19.825,0.054,56.448,0.855,65540.0,0.006,0.000974,4.87e-05,1.624,21.775,85.816,0.768,87.04,0.787,86.183,21.775
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,8,0.517,0.142,34.121,37.262,17.532,0.053,50.756,1.282,65540.0,0.005,0.0009246,4.623e-05,1.603,21.775,92.788,0.791,97.209,0.8,94.114,21.775
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,9,0.517,0.142,30.329,33.912,15.702,0.053,46.107,0.427,95220.0,0.005,0.0008685,4.342e-05,1.608,21.775,97.203,0.777,102.277,0.791,98.725,21.775
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,10,0.504,0.143,27.433,31.341,14.303,0.053,44.749,0.0,131100.0,0.005,0.0008214,4.107e-05,1.582,21.775,93.204,0.747,100.804,0.774,95.484,21.775
