exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,1,0.523,0.146,233.547,238.099,117.456,0.058,1074.0,81.624,65540.0,0.006,7.9e-05,3.95e-06,1.645,21.744,91.686,1.0,91.823,1.0,91.727,21.744
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,2,0.524,0.142,82.806,82.736,41.393,0.055,108.612,41.026,65540.0,0.006,0.000235,1.175e-05,1.63,21.744,98.49,0.992,99.4,0.988,98.763,21.744
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,3,0.54,0.142,68.931,69.507,34.552,0.054,105.609,44.444,65540.0,0.006,0.000391,1.955e-05,1.659,21.771,85.039,0.943,86.704,0.955,85.539,21.771
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,4,0.533,0.142,55.17,56.347,27.762,0.054,83.432,23.077,65540.0,0.006,0.000547,2.735e-05,1.642,21.771,91.067,0.88,93.656,0.914,91.844,21.771
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,5,0.528,0.141,47.758,49.581,24.152,0.055,73.364,16.239,65540.0,0.006,0.000703,3.515e-05,1.64,21.771,91.005,0.855,92.852,0.872,91.559,21.771
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,6,0.54,0.143,42.78,44.98,21.72,0.054,62.877,5.556,65540.0,0.006,0.000859,4.295e-05,1.658,21.775,98.239,0.797,102.055,0.818,99.384,21.775
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,7,0.531,0.143,38.852,41.446,19.815,0.054,56.824,2.137,65540.0,0.006,0.000974,4.87e-05,1.645,21.775,89.789,0.782,93.685,0.798,90.957,21.775
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,8,0.527,0.142,33.579,36.729,17.262,0.053,49.846,0.855,65540.0,0.006,0.0009246,4.623e-05,1.623,21.775,90.66,0.792,97.075,0.799,92.584,21.775
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,9,0.542,0.142,29.813,33.46,15.454,0.054,45.312,0.0,95220.0,0.006,0.0008685,4.342e-05,1.658,21.775,98.466,0.781,106.697,0.81,100.935,21.775
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,10,0.544,0.143,26.563,30.386,13.855,0.054,43.877,0.427,131100.0,0.006,0.0008214,4.107e-05,1.665,21.775,96.166,0.769,104.213,0.793,98.58,21.775
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,11,0.536,0.143,24.014,28.039,12.611,0.054,42.709,0.0,131100.0,0.006,0.0007813,3.907e-05,1.653,21.775,100.779,0.786,107.503,0.814,102.797,21.775
