exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,1,0.5,0.146,231.487,235.959,116.414,0.052,1062.0,83.761,65540.0,0.006,7.9e-05,3.95e-06,1.592,21.586,92.365,1.0,92.516,1.0,92.41,21.586
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,2,0.502,0.141,82.245,82.209,41.117,0.047,110.743,48.291,65540.0,0.005,0.000235,1.175e-05,1.578,21.758,92.524,0.985,93.059,0.985,92.685,21.758
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,3,0.506,0.141,66.901,67.536,33.546,0.047,95.974,34.188,65540.0,0.005,0.000391,1.955e-05,1.581,21.758,80.861,0.956,81.926,0.965,81.181,21.758
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,4,0.511,0.141,56.622,57.833,28.493,0.047,81.539,21.795,65540.0,0.005,0.000547,2.735e-05,1.591,21.758,79.106,0.858,80.373,0.874,79.486,21.758
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,5,0.512,0.141,50.795,52.732,25.688,0.048,71.357,10.684,65540.0,0.005,0.000703,3.515e-05,1.6,21.758,77.385,0.762,79.426,0.782,77.997,21.758
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,6,0.509,0.142,46.147,48.672,23.452,0.047,65.268,8.12,65540.0,0.005,0.000859,4.295e-05,1.59,21.758,76.699,0.737,78.998,0.75,77.389,21.758
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,7,0.509,0.142,42.992,46.062,21.957,0.047,60.245,3.846,65540.0,0.005,0.000974,4.87e-05,1.593,21.758,78.405,0.732,79.432,0.736,78.713,21.758
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,8,0.509,0.141,38.982,42.731,20.053,0.046,52.494,1.282,65540.0,0.005,0.0009246,4.623e-05,1.581,21.758,73.22,0.713,76.478,0.743,74.198,21.758
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,9,0.51,0.141,36.191,40.531,18.746,0.047,51.196,0.0,95220.0,0.005,0.0008685,4.342e-05,1.587,21.758,72.515,0.722,76.223,0.733,73.628,21.758
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,10,0.51,0.142,33.901,38.697,17.67,0.047,49.557,0.0,131100.0,0.005,0.0008214,4.107e-05,1.589,21.771,70.098,0.714,74.591,0.732,71.446,21.771
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,11,0.513,0.142,31.722,36.862,16.632,0.047,48.589,0.0,131100.0,0.005,0.0007813,3.907e-05,1.599,21.771,70.314,0.712,76.139,0.74,72.061,21.771
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,12,0.516,0.141,29.953,35.381,15.791,0.047,48.825,0.0,131100.0,0.005,0.0007466,3.733e-05,1.599,21.771,71.752,0.696,76.302,0.732,73.117,21.771
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,13,0.515,0.141,28.586,34.223,15.139,0.048,49.917,0.0,131100.0,0.005,0.0007161,3.58e-05,1.609,21.771,70.257,0.691,74.999,0.711,71.68,21.771
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,14,0.514,0.141,27.007,33.066,14.412,0.048,49.207,0.0,131100.0,0.005,0.000689,3.445e-05,1.604,21.771,69.655,0.712,75.813,0.723,71.503,21.771
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,15,0.513,0.141,25.554,31.748,13.706,0.047,49.37,0.0,131100.0,0.005,0.0006648,3.324e-05,1.599,21.773,69.178,0.675,75.056,0.707,70.941,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,16,0.511,0.141,24.445,30.851,13.184,0.046,49.822,0.0,131100.0,0.005,0.000643,3.215e-05,1.583,21.773,67.213,0.66,72.107,0.678,68.681,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,17,0.511,0.141,23.11,29.57,12.524,0.047,49.504,0.427,131100.0,0.005,0.0006232,3.116e-05,1.594,21.773,68.806,0.653,75.359,0.699,70.772,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,18,0.51,0.141,21.992,28.689,12.0,0.047,49.993,0.0,249800.0,0.005,0.0006052,3.026e-05,1.589,21.773,61.985,0.639,69.487,0.673,64.235,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,19,0.508,0.141,21.255,28.117,11.657,0.047,50.12,0.0,262100.0,0.005,0.0005886,2.943e-05,1.592,21.773,68.736,0.643,74.259,0.68,70.393,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,20,0.514,0.141,20.211,27.168,11.149,0.047,50.039,0.0,262100.0,0.005,0.0005733,2.867e-05,1.595,21.773,66.988,0.637,74.761,0.681,69.319,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,21,0.515,0.141,19.237,26.376,10.69,0.046,50.066,0.0,262100.0,0.005,0.0005591,2.796e-05,1.597,21.773,63.109,0.631,70.845,0.691,65.43,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,22,0.513,0.141,18.513,25.675,10.331,0.047,50.718,0.0,262100.0,0.005,0.000546,2.73e-05,1.597,21.773,67.749,0.63,73.208,0.678,69.386,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,23,0.513,0.142,17.593,24.906,9.894,0.047,51.088,0.0,262100.0,0.005,0.0005337,2.669e-05,1.599,21.773,69.381,0.624,74.74,0.672,70.989,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,24,0.517,0.141,16.954,24.314,9.581,0.047,51.272,0.0,262100.0,0.005,0.0005222,2.611e-05,1.596,21.773,66.466,0.601,72.322,0.65,68.223,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,25,0.518,0.142,16.287,23.728,9.26,0.047,51.836,0.0,262100.0,0.005,0.0005115,2.557e-05,1.607,21.773,66.649,0.617,73.957,0.653,68.841,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,26,0.518,0.142,15.523,23.022,8.887,0.047,51.184,0.0,356200.0,0.005,0.0005013,2.507e-05,1.61,21.773,65.823,0.606,72.208,0.649,67.738,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,27,0.518,0.141,14.791,22.365,8.531,0.047,51.277,0.0,524300.0,0.005,0.0004918,2.459e-05,1.611,21.773,65.203,0.603,72.056,0.66,67.259,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,28,0.519,0.142,14.141,21.681,8.202,0.047,51.49,0.427,524300.0,0.005,0.0004828,2.414e-05,1.609,21.773,69.331,0.605,74.465,0.647,70.872,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,29,0.515,0.141,13.743,21.372,8.016,0.048,51.871,0.0,524300.0,0.005,0.0004742,2.371e-05,1.607,21.773,67.582,0.596,72.249,0.658,68.982,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,30,0.519,0.141,13.257,20.837,7.765,0.046,52.063,0.0,524300.0,0.005,0.0004661,2.331e-05,1.598,21.773,65.233,0.599,70.649,0.649,66.858,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,31,0.514,0.141,12.673,20.242,7.472,0.047,51.759,0.0,524300.0,0.005,0.0004584,2.292e-05,1.596,21.773,72.252,0.602,76.842,0.654,73.629,21.773
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,32,0.514,0.141,12.161,19.943,7.248,0.046,52.11,0.0,524300.0,0.005,0.0004511,2.255e-05,1.595,21.777,68.342,0.597,75.52,0.661,70.496,21.777
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,33,0.516,0.142,11.562,19.171,6.922,0.047,51.556,0.0,524300.0,0.005,0.0004441,2.22e-05,1.602,21.777,70.263,0.593,75.881,0.648,71.948,21.777
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,34,0.514,0.141,11.035,18.719,6.67,0.047,51.335,0.0,524300.0,0.005,0.0004374,2.187e-05,1.597,21.777,74.38,0.594,78.892,0.65,75.733,21.777
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,35,0.516,0.142,10.56,18.214,6.428,0.047,51.53,0.0,950000.0,0.006,0.000431,2.155e-05,1.605,21.777,75.777,0.593,79.794,0.64,76.982,21.777
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,36,0.517,0.142,10.507,18.062,6.387,0.047,52.153,0.0,1049000.0,0.006,0.0004249,2.125e-05,1.609,21.779,69.681,0.602,75.979,0.649,71.571,21.779
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,37,0.514,0.142,9.99,17.537,6.127,0.047,51.227,0.0,1049000.0,0.005,0.000419,2.095e-05,1.604,21.779,76.382,0.606,79.741,0.658,77.39,21.779
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,38,0.513,0.142,9.692,17.196,5.972,0.047,52.053,0.427,1049000.0,0.005,0.0004134,2.067e-05,1.603,21.779,74.284,0.598,78.708,0.65,75.611,21.779
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,39,0.514,0.141,9.243,16.77,5.75,0.046,51.265,0.427,1049000.0,0.005,0.000408,2.04e-05,1.597,21.779,76.796,0.597,78.928,0.632,77.435,21.779
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,40,0.515,0.141,8.838,16.319,5.541,0.046,50.878,0.0,1049000.0,0.005,0.0004028,2.014e-05,1.594,21.779,77.439,0.597,79.51,0.645,78.061,21.779
