exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,1,0.515,0.076,259.027,257.859,129.338,0.028,1263.0,100.0,65540.0,0.004,8.5e-05,4.25e-06,1.34,21.623,178.883,0.908,181.017,0.907,179.523,21.623
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,2,0.514,0.071,147.549,148.636,73.937,0.022,480.832,86.508,65540.0,0.003,0.000253,1.265e-05,1.321,21.656,97.567,1.0,97.8,1.0,97.637,21.656
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,3,0.519,0.072,86.49,86.376,43.228,0.022,130.684,50.0,65540.0,0.003,0.000421,2.105e-05,1.337,21.656,101.293,0.953,101.895,0.953,101.473,21.656
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,4,0.524,0.071,84.876,84.851,42.434,0.022,96.781,33.73,65540.0,0.004,0.000589,2.945e-05,1.346,21.656,91.951,0.898,92.3,0.91,92.056,21.656
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,5,0.515,0.071,78.878,79.478,39.529,0.022,99.754,35.317,65540.0,0.003,0.000757,3.785e-05,1.328,21.658,78.484,0.966,79.763,0.928,78.868,21.658
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,6,0.515,0.071,64.447,65.588,32.395,0.021,83.972,24.603,65540.0,0.003,0.0009246,4.623e-05,1.327,21.658,64.818,0.867,66.16,0.885,65.22,21.658
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,7,0.536,0.072,54.047,55.364,27.221,0.022,66.276,11.905,65540.0,0.004,0.0009572,4.786e-05,1.363,21.658,55.834,0.718,57.604,0.756,56.365,21.658
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,8,0.524,0.071,45.976,47.662,23.241,0.021,53.619,1.984,69700.0,0.003,0.000891,4.455e-05,1.347,21.658,50.261,0.602,52.269,0.649,50.864,21.658
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,9,0.523,0.071,39.992,41.794,20.266,0.021,48.492,0.0,131100.0,0.003,0.0008369,4.184e-05,1.338,21.67,46.865,0.544,49.054,0.588,47.522,21.67
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,10,0.528,0.072,35.912,37.759,18.233,0.022,47.884,0.397,131100.0,0.003,0.0007916,3.958e-05,1.358,21.67,44.186,0.504,46.116,0.536,44.765,21.67
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,11,0.527,0.072,32.518,34.483,16.554,0.022,44.728,0.0,131100.0,0.003,0.0007529,3.765e-05,1.354,21.67,42.937,0.472,44.636,0.499,43.447,21.67
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,12,0.526,0.072,29.716,31.752,15.163,0.022,43.106,0.0,131100.0,0.003,0.0007194,3.597e-05,1.351,21.717,42.167,0.459,43.769,0.483,42.648,21.717
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,13,0.536,0.072,27.46,29.515,14.038,0.022,44.027,0.0,131100.0,0.004,0.00069,3.45e-05,1.371,21.717,39.885,0.442,41.828,0.464,40.468,21.717
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,14,0.538,0.071,25.45,27.538,13.038,0.022,42.842,0.0,131100.0,0.004,0.000664,3.32e-05,1.377,21.717,38.871,0.419,40.978,0.442,39.503,21.717
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,15,0.533,0.072,23.644,25.841,12.152,0.022,42.559,0.0,131100.0,0.004,0.0006407,3.203e-05,1.365,21.762,39.748,0.411,41.733,0.432,40.343,21.762
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,16,0.538,0.072,22.234,24.443,11.448,0.022,42.611,0.0,147700.0,0.004,0.0006197,3.098e-05,1.373,21.762,38.294,0.393,40.217,0.421,38.871,21.762
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,17,0.536,0.072,20.593,22.861,10.637,0.021,42.223,0.0,262100.0,0.004,0.0006006,3.003e-05,1.371,21.762,39.424,0.391,40.98,0.415,39.891,21.762
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,18,0.54,0.072,19.398,21.603,10.03,0.021,41.585,0.0,262100.0,0.004,0.0005832,2.916e-05,1.38,21.762,38.973,0.383,40.655,0.409,39.477,21.762
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,19,0.541,0.071,18.068,20.301,9.369,0.022,41.343,0.0,262100.0,0.004,0.0005672,2.836e-05,1.383,21.762,38.929,0.374,40.487,0.395,39.396,21.762
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,20,0.536,0.071,17.026,19.225,8.843,0.022,41.152,0.0,262100.0,0.004,0.0005525,2.762e-05,1.366,21.762,39.495,0.37,40.824,0.395,39.893,21.762
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,21,0.536,0.072,16.096,18.295,8.378,0.022,41.153,0.0,262100.0,0.004,0.0005388,2.694e-05,1.369,21.779,41.309,0.373,42.498,0.393,41.665,21.779
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,22,0.543,0.072,15.179,17.335,7.913,0.022,40.975,0.0,262100.0,0.004,0.0005261,2.631e-05,1.388,21.779,39.601,0.363,40.916,0.386,39.996,21.779
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,23,0.535,0.072,14.313,16.523,7.488,0.022,40.696,0.0,262100.0,0.004,0.0005143,2.572e-05,1.368,21.779,40.274,0.36,41.572,0.383,40.664,21.779
