exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer1,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer1,valid_cer_interctc_layer1,valid_loss,valid_gpu_max_cached_mem_GB
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,1,0.557,0.052,322.574,321.162,161.075,0.018,1483.0,100.0,65540.0,0.003,8.5e-05,4.25e-06,1.332,21.779,238.724,0.92,244.007,0.92,240.309,21.779
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,2,0.54,0.052,166.721,176.047,84.759,0.017,493.66,85.714,65540.0,0.003,0.000253,1.265e-05,1.298,21.779,94.533,0.87,94.695,0.888,94.582,21.779
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,3,0.545,0.052,85.455,85.624,42.753,0.017,91.156,34.127,65540.0,0.003,0.000421,2.105e-05,1.312,21.779,93.862,0.861,94.248,0.879,93.977,21.779
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,4,0.541,0.052,81.255,81.639,40.685,0.017,74.115,19.048,65540.0,0.003,0.000589,2.945e-05,1.303,21.779,82.376,0.981,84.048,0.983,82.878,21.779
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,5,0.549,0.052,66.493,68.405,33.533,0.018,76.167,21.825,65540.0,0.003,0.000757,3.785e-05,1.321,21.779,66.425,0.819,68.808,0.832,67.14,21.779
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,6,0.551,0.052,55.191,57.342,27.918,0.017,63.38,8.73,65540.0,0.003,0.0009246,4.623e-05,1.324,21.779,57.424,0.696,59.651,0.728,58.092,21.779
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,7,0.553,0.052,47.639,50.067,24.184,0.017,54.456,1.984,65540.0,0.003,0.0009572,4.786e-05,1.323,21.779,52.019,0.641,54.581,0.678,52.788,21.779
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,8,0.55,0.052,41.374,43.937,21.071,0.017,45.623,0.794,69700.0,0.003,0.000891,4.455e-05,1.324,21.779,47.168,0.567,50.198,0.594,48.077,21.779
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,9,0.549,0.052,36.508,39.338,18.679,0.017,42.001,0.0,131100.0,0.003,0.0008369,4.184e-05,1.316,21.779,44.909,0.524,48.775,0.576,46.069,21.779
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,10,0.555,0.052,33.204,36.203,17.052,0.017,42.277,0.0,131100.0,0.003,0.0007916,3.958e-05,1.333,21.779,42.384,0.475,45.783,0.513,43.404,21.779
