exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,1,0.512,0.137,378.322,383.236,189.898,0.055,1871.0,100.0,65540.0,0.006,8.5e-05,4.25e-06,1.58,21.756,101.007,1.0,102.641,0.971,101.497,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,2,0.514,0.131,87.002,86.895,43.485,0.051,115.25,46.825,65540.0,0.005,0.000253,1.265e-05,1.56,21.756,94.376,0.917,94.429,0.893,94.392,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,3,0.515,0.13,81.182,81.26,40.603,0.053,83.132,29.365,65540.0,0.005,0.000421,2.105e-05,1.575,21.756,80.251,0.98,81.118,0.984,80.511,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,4,0.519,0.132,64.213,65.095,32.239,0.052,82.762,25.794,65540.0,0.005,0.000589,2.945e-05,1.579,21.756,61.805,0.729,63.437,0.742,62.295,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,5,0.514,0.131,52.503,54.561,26.56,0.051,68.426,9.921,65540.0,0.005,0.000757,3.785e-05,1.562,21.756,55.429,0.623,58.165,0.655,56.25,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,6,0.513,0.131,45.388,47.974,23.082,0.052,57.0,2.381,65540.0,0.005,0.0009246,4.623e-05,1.566,21.756,49.985,0.551,52.93,0.579,50.869,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,7,0.517,0.131,40.059,43.231,20.505,0.052,51.49,0.397,65540.0,0.005,0.0009572,4.786e-05,1.575,21.756,46.89,0.525,49.819,0.55,47.769,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,8,0.512,0.131,35.517,39.11,18.297,0.052,49.548,0.0,69700.0,0.005,0.000891,4.455e-05,1.562,21.756,43.533,0.476,47.297,0.521,44.663,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,9,0.517,0.131,31.535,35.556,16.371,0.052,45.907,0.0,131100.0,0.005,0.0008369,4.184e-05,1.576,21.756,41.116,0.459,45.554,0.513,42.447,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,10,0.519,0.131,28.511,32.911,14.915,0.052,43.998,0.0,131100.0,0.005,0.0007916,3.958e-05,1.574,21.756,39.138,0.446,43.575,0.492,40.469,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,11,0.516,0.131,26.227,30.733,13.789,0.051,43.006,0.0,131100.0,0.005,0.0007529,3.765e-05,1.568,21.756,38.386,0.416,43.149,0.472,39.815,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,12,0.514,0.131,24.352,29.001,12.873,0.051,42.61,0.0,131100.0,0.005,0.0007194,3.597e-05,1.561,21.756,36.57,0.394,41.639,0.448,38.09,21.756
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,13,0.518,0.131,22.49,27.291,11.965,0.052,42.15,0.0,131100.0,0.005,0.00069,3.45e-05,1.574,21.756,37.627,0.386,42.099,0.442,38.969,21.756
