exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,1,0.531,0.131,239.284,244.575,120.436,0.052,1173.0,66.667,65540.0,0.006,8.5e-05,4.25e-06,1.6,21.775,94.983,0.938,94.968,0.942,94.979,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,2,0.525,0.131,79.232,79.324,39.63,0.051,102.952,42.063,65540.0,0.006,0.000253,1.265e-05,1.579,21.775,73.552,0.981,74.313,0.982,73.781,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,3,0.521,0.131,61.297,62.17,30.779,0.051,82.9,22.619,65540.0,0.006,0.000421,2.105e-05,1.57,21.775,61.525,0.794,64.132,0.824,62.307,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,4,0.516,0.131,51.305,52.772,25.873,0.052,70.713,11.111,65540.0,0.006,0.000589,2.945e-05,1.568,21.775,55.254,0.636,56.79,0.656,55.715,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,5,0.522,0.132,45.002,46.988,22.799,0.051,64.38,7.54,65540.0,0.006,0.000757,3.785e-05,1.583,21.775,49.517,0.592,52.123,0.621,50.299,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,6,0.524,0.131,40.612,43.014,20.666,0.051,59.314,1.984,65540.0,0.006,0.0009246,4.623e-05,1.583,21.775,47.741,0.546,50.38,0.579,48.533,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,7,0.52,0.131,35.871,38.651,18.353,0.051,50.894,0.794,65540.0,0.006,0.0009572,4.786e-05,1.576,21.775,43.123,0.485,46.428,0.521,44.114,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,8,0.52,0.131,31.136,34.319,16.045,0.053,46.2,0.0,69700.0,0.006,0.000891,4.455e-05,1.584,21.775,40.94,0.45,44.272,0.488,41.939,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,9,0.528,0.131,27.703,31.104,14.362,0.05,44.129,0.0,131100.0,0.006,0.0008369,4.184e-05,1.585,21.775,40.017,0.423,43.542,0.462,41.074,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,10,0.525,0.131,24.772,28.326,12.919,0.052,43.344,0.0,131100.0,0.006,0.0007916,3.958e-05,1.588,21.775,38.386,0.402,42.389,0.446,39.587,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,11,0.53,0.131,22.423,26.211,11.78,0.052,42.352,0.0,131100.0,0.006,0.0007529,3.765e-05,1.595,21.775,37.566,0.386,41.378,0.431,38.71,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,12,0.527,0.132,20.551,24.396,10.852,0.051,41.799,0.0,131100.0,0.006,0.0007194,3.597e-05,1.587,21.775,39.021,0.384,42.507,0.427,40.067,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,13,0.526,0.131,18.669,22.591,9.923,0.052,40.99,0.0,131100.0,0.006,0.00069,3.45e-05,1.591,21.775,37.77,0.376,41.46,0.42,38.877,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,14,0.533,0.132,16.993,20.986,9.095,0.052,40.853,0.0,131100.0,0.006,0.000664,3.32e-05,1.606,21.775,38.702,0.363,41.836,0.404,39.642,21.775
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,15,0.534,0.132,15.64,19.628,8.418,0.052,40.399,0.397,131100.0,0.006,0.0006407,3.203e-05,1.607,21.775,39.633,0.362,42.795,0.408,40.581,21.775
