exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,1,0.546,0.132,301.53,592.515,194.413,0.051,7180.0,100.0,65540.0,0.006,8.5e-05,1.7e-05,1.622,21.779,186.961,0.878,342.235,0.936,233.543,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,2,0.522,0.131,112.764,289.823,82.941,0.051,1429.0,98.413,65540.0,0.006,0.000253,5.06e-05,1.577,21.779,101.115,0.91,208.107,0.997,133.213,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,3,0.523,0.131,86.032,94.164,44.236,0.052,193.23,85.317,65540.0,0.006,0.000421,8.42e-05,1.584,21.779,113.806,0.917,190.511,0.916,136.817,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,4,0.525,0.131,84.518,89.76,43.045,0.051,160.697,75.397,65540.0,0.006,0.000589,0.0001178,1.585,21.779,95.078,0.958,114.021,0.849,100.761,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,5,0.523,0.131,81.28,87.868,41.628,0.051,136.233,68.254,65540.0,0.006,0.000757,0.0001514,1.582,21.779,89.225,0.965,104.791,0.861,93.895,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,6,0.522,0.13,77.473,86.727,40.125,0.051,118.805,59.524,65540.0,0.006,0.0009246,0.0001849,1.577,21.779,82.635,0.966,99.225,0.9,87.612,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,7,0.525,0.131,74.283,85.608,38.84,0.05,105.11,46.429,65540.0,0.006,0.0009572,0.0001914,1.575,21.779,81.512,0.878,99.534,0.929,86.918,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,8,0.519,0.131,72.212,84.349,37.926,0.052,97.34,38.095,69700.0,0.006,0.000891,0.0001782,1.582,21.779,78.746,0.813,95.685,0.987,83.827,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,9,0.519,0.131,71.244,83.431,37.45,0.05,85.69,26.984,131100.0,0.006,0.0008369,0.0001674,1.569,21.779,76.296,0.781,93.373,1.126,81.419,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,10,0.528,0.131,69.296,82.727,36.663,0.053,86.292,23.413,131100.0,0.006,0.0007916,0.0001583,1.6,21.779,76.171,0.762,91.941,0.861,80.902,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,11,0.525,0.131,68.443,82.853,36.383,0.052,96.133,36.508,131100.0,0.006,0.0007529,0.0001506,1.589,21.779,75.099,0.76,90.763,0.841,79.798,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,12,0.52,0.131,67.753,82.329,36.063,0.051,89.771,26.984,131100.0,0.006,0.0007194,0.0001439,1.577,21.779,73.603,0.755,90.153,0.869,78.568,21.779
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,13,0.519,0.131,66.972,82.161,35.764,0.052,94.031,33.73,131100.0,0.006,0.00069,0.000138,1.577,21.779,72.848,0.749,92.032,0.902,78.603,21.779
