epoch,valid_cer_ctc,ejecucion
1,1.0,A1
2,0.966,A1
3,0.912,A1
4,0.732,A1
5,0.638,A1
6,0.587,A1
7,0.525,A1
8,0.469,A1
9,0.441,A1
10,0.413,A1
11,0.408,A1
12,0.385,A1
13,0.384,A1
14,0.367,A1
15,0.363,A1
16,0.355,A1
17,0.354,A1
18,0.345,A1
19,0.342,A1
20,0.338,A1
21,0.339,A1
22,0.33,A1
23,0.332,A1
24,0.33,A1
25,0.325,A1
26,0.325,A1
27,0.326,A1
28,0.324,A1
29,0.328,A1
30,0.337,A1
1,0.886,v3
2,0.948,v3
3,0.975,v3
4,0.962,v3
5,0.948,v3
6,0.929,v3
7,0.878,v3
8,0.952,v3
9,0.888,v3
10,0.844,v3
11,0.767,v3
12,0.712,v3
13,0.673,v3
14,0.628,v3
15,0.599,v3
16,0.562,v3
17,0.531,v3
18,0.519,v3
19,0.496,v3
20,0.476,v3
21,0.466,v3
22,0.457,v3
23,0.448,v3
24,0.441,v3
25,0.434,v3
26,0.429,v3
27,0.422,v3
28,0.422,v3
29,0.411,v3
30,0.411,v3
31,0.402,v3
32,0.402,v3
33,0.397,v3
34,0.391,v3
35,0.386,v3
36,0.387,v3
37,0.381,v3
38,0.384,v3
1,0.857,A2
2,0.857,A2
3,0.851,A2
4,0.835,A2
5,0.832,A2
6,0.836,A2
7,0.854,A2
8,0.868,A2
9,0.837,A2
10,0.894,A2
11,0.86,A2
12,0.849,A2
13,0.924,A2
14,0.917,A2
15,0.926,A2
16,0.939,A2
17,0.944,A2
18,0.918,A2
19,0.889,A2
20,0.869,A2
21,0.857,A2
22,0.832,A2
23,0.796,A2
24,0.78,A2
25,0.753,A2
26,0.732,A2
27,0.715,A2
28,0.704,A2
29,0.658,A2
30,0.665,A2
