exp_tag,gpu,minutos,compute_units,n_train,n_val,cer_beam,wer_beam,error,nombre,n_sessions,max_epoch,warmup,val_igual_train,frontend,unfreeze_encoder,unfreeze_n_layers,usar_lora,batch_type,batch_size,batch_bins,accum_grad,lr,enc_lr_scale,weight_decay,grad_clip,ctc_weight,ctc_weight_decode,seed,num_workers,epocas_hechas,best_valid_loss_ctc,best_valid_cer_ctc,best_valid_loss_att,best_valid_acc,best_valid_cer,best_valid_wer,best_valid_loss,best_valid_gpu_max_cached_mem_GB,best_epoch,n_sesiones,batch_usado,cer_ctc_greedy,wer_ctc_greedy,capa_sesion,norm,cer_ctc_micro,criterio,min_valid_cer_ctc,epoch_min_cer_ctc,pendiente_cer_ctc,objetivo_ctc,deep_dim,deep_bloques,deep_kernel,deep_dropout,subsample,interctc_weight,interctc_layers,best_valid_loss_interctc_layer2,best_valid_cer_interctc_layer2,best_valid_loss_interctc_layer4,best_valid_cer_interctc_layer4,aug,aug_n_tiempo,aug_max_tiempo,aug_n_canales,aug_max_canales,aug_ruido,optim,aug_offset,suavizado,patience,patience_start_epoch,tag_legible,cer_ctc_greedy_se,holdout_sesiones,holdout_capa_sesion,bpe_vocab,unfreeze_ultimas,init_encoder,n_capas_encoder,best_valid_loss_interctc_layer1,best_valid_cer_interctc_layer1,metadatos_inferidos,estado,es_ctc_puro,horas,pareto
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,NVIDIA L4,133.1,3.79,7051,1426,,,,fullCon,45,25,1000,False,linear,True,,True,sorted,32,6000000,1,0.001,1.0,1e-06,5.0,1.0,,2024,0,25.0,84.117,0.875,,,,,84.117,21.775,23.0,41.0,32.0,0.7213105282318497,1.1938961038961038,True,trial,0.7205428747686613,cer_ctc,0.817,12.0,0.0006424242424242,char,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owsm,,,,True,completo,True,2.2183333333333333,True
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,NVIDIA L4,163.8,4.67,7051,1426,,,,lrdif,45,30,800,False,linear,True,,True,sorted,32,6000000,1,0.001,0.01,1e-06,5.0,1.0,,2024,0,30.0,81.805,0.87,,,,,81.805,21.775,28.0,41.0,32.0,0.7457971462215502,1.108095238095238,True,trial,0.7476866132017274,cer_ctc,0.856,16.0,-0.0013939393939394,char,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owsm,,,,True,completo,True,2.73,True
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,NVIDIA L4,166.8,4.75,8072,1426,,,,B3word,45,20,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,20.0,11.886,0.341,,,,,11.899,21.779,16.0,45.0,16.0,0.240426101402724,0.3085488123789419,True,ninguna,0.2877166398333175,cer_ctc,0.327,19.0,-0.0075151515151515,word,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",11.931,0.382,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024,0.005065849484324,0.0,identidad,256.0,,random,,,,False,completo,True,2.7800000000000002,True
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,NVIDIA L4,168.9,4.81,7051,1426,,,,c1d,45,30,800,False,conv1d,True,,True,sorted,32,6000000,1,0.001,0.01,1e-06,5.0,1.0,,2024,0,30.0,83.916,0.826,,,,,83.916,21.748,11.0,41.0,32.0,0.7141646859980137,1.2048571428571428,True,trial,0.7137569401603948,cer_ctc,0.804,29.0,-0.0039999999999999,char,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owsm,,,,True,completo,True,2.815,False
A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,NVIDIA L4,219.7,6.26,8072,1426,,,,A2congelado,45,30,1500,False,deep,False,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,30.0,62.583,0.704,,,,,76.834,21.779,28.0,45.0,16.0,0.582169053651875,0.8682288285054145,True,ninguna,0.5786630799120391,cer_ctc,0.658,29.0,-0.0219515151515151,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",110.086,0.857,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024,0.0031946055687337,0.0,identidad,256.0,,owsm,,,,False,completo,True,3.6616666666666666,False
D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,NVIDIA L4,221.2,6.3,8072,1426,,,,D2ult2,45,30,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,30.0,47.0,0.521,,,,,60.323,21.779,30.0,45.0,16.0,0.4264295814560151,0.7275947269553408,True,ninguna,0.4300689596276607,cer_ctc,0.521,30.0,-0.0078909090909091,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",91.41,0.878,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024,0.0034054847657116,0.0,identidad,256.0,2.0,owsm,,,,False,completo,True,3.6866666666666665,False
D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,NVIDIA L4,224.3,6.39,8072,1426,,,,D3ult4,45,30,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,30.0,47.713,0.495,,,,,62.097,21.779,29.0,45.0,16.0,0.4347203107142743,0.7392977155259557,True,ninguna,0.439441491065138,cer_ctc,0.493,30.0,-0.008430303030303,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",95.66,0.945,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024,0.0034294584432784,0.0,identidad,256.0,4.0,owsm,,,,False,completo,True,3.7383333333333337,False
A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,NVIDIA L4,226.5,6.45,8072,1426,,,,A1randLr1,45,30,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,1.0,0.01,100.0,1.0,,2024,0,30.0,84.606,0.997,,,,,84.969,21.775,2.0,45.0,16.0,0.8254614276695466,0.9803360644205048,True,ninguna,0.8355003309208139,cer_ctc,0.854,15.0,0.0018121212121212,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",85.815,0.918,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024,0.0013147715074105,0.0,identidad,256.0,,random,,,,False,completo,True,3.775,False
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,NVIDIA L4,226.7,6.46,8072,1426,,,,B4bpe50k,45,20,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,20.0,16.589,0.243,,,,,17.219,21.779,19.0,45.0,8.0,0.2469523213547507,0.3234389497878484,True,ninguna,0.2538909882789982,cer_ctc,0.243,19.0,-0.0065939393939393,bpe,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",18.688,0.29,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024,0.0050977560199975,0.0,identidad,256.0,,random,,,,False,completo,True,3.7783333333333333,False
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,NVIDIA L4,231.6,6.6,8072,1426,,,,A1randEls,45,30,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,30.0,36.41,0.367,,,,,37.785,21.771,14.0,45.0,16.0,0.2887007052545438,0.5713065403324045,True,ninguna,0.2949892183863874,cer_ctc,0.324,28.0,-0.0005090909090909,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",40.992,0.417,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024,0.0035692442589247,0.0,identidad,256.0,,random,,,,False,completo,True,3.86,False
