exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss,valid_gpu_max_cached_mem_GB
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,1,0.831,0.146,189.675,189.675,0.125,4880.0,100.0,65540.0,0.009,0.0001394,1.394e-06,1.258,16.834,103.294,0.931,103.294,16.834
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,2,0.826,0.14,91.012,91.012,0.118,233.596,100.0,65540.0,0.008,0.0004144,4.144e-06,1.244,20.57,99.732,0.968,99.732,20.57
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,3,0.845,0.141,87.976,87.976,0.117,206.714,100.0,65540.0,0.008,0.0006894,6.894e-06,1.265,21.734,91.426,0.934,91.426,21.734
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,4,0.853,0.14,88.401,88.401,0.118,179.974,100.0,65540.0,0.008,0.0009365,9.365e-06,1.272,21.734,89.82,0.873,89.82,21.734
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,5,0.859,0.14,85.217,85.217,0.117,115.058,100.0,65540.0,0.008,0.0008996,8.996e-06,1.279,21.734,89.645,0.875,89.645,21.734
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,6,0.832,0.14,83.567,83.567,0.117,100.95,100.0,65540.0,0.008,0.0008135,8.135e-06,1.25,21.748,86.52,0.88,86.52,21.748
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,7,0.841,0.14,82.886,82.886,0.117,100.3,100.0,65540.0,0.008,0.0007481,7.481e-06,1.259,21.748,85.278,0.875,85.278,21.748
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,8,0.872,0.14,81.934,81.934,0.117,94.127,100.0,65540.0,0.009,0.0006964,6.964e-06,1.291,21.748,85.041,0.866,85.041,21.748
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,9,0.852,0.14,81.391,81.391,0.117,86.089,100.0,65540.0,0.008,0.0006541,6.541e-06,1.27,21.748,85.474,0.891,85.474,21.748
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,10,0.835,0.14,80.811,80.811,0.117,80.137,100.0,125100.0,0.008,0.0006187,6.187e-06,1.255,21.748,86.264,0.871,86.264,21.748
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,11,0.831,0.14,80.326,80.326,0.117,77.299,100.0,131100.0,0.008,0.0005885,5.885e-06,1.25,21.748,83.916,0.826,83.916,21.748
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,12,0.837,0.14,80.025,80.025,0.117,76.235,100.0,131100.0,0.008,0.0005623,5.623e-06,1.256,21.748,83.922,0.832,83.922,21.748
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,13,0.839,0.14,79.397,79.397,0.117,69.892,100.0,131100.0,0.009,0.0005393,5.393e-06,1.258,21.754,84.37,0.859,84.37,21.754
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,14,0.832,0.14,78.938,78.938,0.117,66.513,100.0,131100.0,0.008,0.000519,5.19e-06,1.251,21.754,84.754,0.859,84.754,21.754
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,15,0.854,0.14,78.556,78.556,0.118,66.93,100.0,131100.0,0.009,0.0005007,5.007e-06,1.274,21.754,85.03,0.846,85.03,21.754
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,16,0.857,0.14,78.289,78.289,0.117,64.57,100.0,131100.0,0.009,0.0004843,4.843e-06,1.276,21.754,85.11,0.83,85.11,21.754
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,17,0.846,0.14,77.925,77.925,0.117,61.595,100.0,131100.0,0.008,0.0004694,4.694e-06,1.265,21.754,84.072,0.84,84.072,21.754
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,18,0.867,0.14,77.707,77.707,0.118,62.42,100.0,131100.0,0.009,0.0004558,4.558e-06,1.287,21.754,83.982,0.831,83.982,21.754
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,19,0.861,0.14,77.433,77.433,0.117,58.635,100.0,238300.0,0.008,0.0004433,4.433e-06,1.28,21.754,84.882,0.837,84.882,21.754
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,20,0.844,0.14,77.09,77.09,0.117,61.643,100.0,262100.0,0.008,0.0004318,4.318e-06,1.264,21.754,84.938,0.842,84.938,21.754
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,21,0.843,0.141,76.774,76.774,0.117,58.414,100.0,262100.0,0.009,0.0004211,4.211e-06,1.263,21.754,84.253,0.846,84.253,21.754
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,22,0.841,0.14,76.401,76.401,0.118,56.784,100.0,262100.0,0.009,0.0004112,4.112e-06,1.261,21.754,84.035,0.843,84.035,21.754
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,23,0.856,0.14,76.025,76.025,0.118,56.79,100.0,262100.0,0.009,0.000402,4.02e-06,1.276,21.754,85.389,0.84,85.389,21.754
