exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss,valid_gpu_max_cached_mem_GB
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,1,0.339,0.039,156.873,156.873,0.051,3732.0,100.0,65540.0,0.008,0.00024,0.451,4.291,104.572,0.953,104.572,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,2,0.335,0.038,84.221,84.221,0.051,339.477,100.0,65540.0,0.007,0.00066,0.446,4.291,92.298,0.962,92.298,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,3,0.335,0.038,81.943,81.943,0.05,198.917,100.0,65540.0,0.007,0.0009362,0.446,4.291,92.765,0.962,92.765,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,4,0.338,0.039,81.412,81.412,0.05,200.816,100.0,65540.0,0.007,0.0008185,0.448,4.291,99.028,0.962,99.028,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,5,0.335,0.039,80.456,80.456,0.051,153.416,100.0,65540.0,0.007,0.0007228,0.447,4.291,93.615,0.937,93.615,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,6,0.338,0.039,80.104,80.104,0.051,126.332,100.0,65540.0,0.007,0.0006544,0.449,4.291,93.355,0.962,93.355,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,7,0.338,0.039,79.131,79.131,0.053,94.717,100.0,65540.0,0.007,0.0006024,0.451,4.291,91.94,0.932,91.94,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,8,0.336,0.039,78.486,78.486,0.053,82.786,100.0,65540.0,0.007,0.0005611,0.45,4.291,91.231,0.938,91.231,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,9,0.332,0.038,77.846,77.846,0.049,98.799,100.0,65540.0,0.007,0.0005273,0.441,4.291,91.438,0.949,91.438,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,10,0.334,0.038,77.472,77.472,0.05,101.119,100.0,65540.0,0.007,0.0004989,0.444,4.291,91.535,0.948,91.535,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,11,0.331,0.039,77.098,77.098,0.05,114.778,100.0,65540.0,0.007,0.0004747,0.442,4.291,91.146,0.931,91.146,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,12,0.334,0.039,76.496,76.496,0.05,112.132,100.0,65540.0,0.008,0.0004537,0.446,4.291,91.21,0.937,91.21,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,13,0.334,0.038,75.604,75.604,0.05,102.758,100.0,65540.0,0.007,0.0004353,0.444,4.291,91.517,0.937,91.517,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,14,0.337,0.039,75.011,75.011,0.051,123.955,100.0,65540.0,0.007,0.0004189,0.448,4.291,90.954,0.941,90.954,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,15,0.339,0.038,73.713,73.713,0.05,119.882,100.0,65540.0,0.007,0.0004043,0.449,4.291,90.628,0.934,90.628,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,16,0.335,0.038,72.524,72.524,0.052,160.437,100.0,65540.0,0.007,0.0003911,0.447,4.291,88.973,0.934,88.973,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,17,0.335,0.038,71.357,71.357,0.051,145.621,100.0,65540.0,0.007,0.0003791,0.446,4.291,88.281,0.945,88.281,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,18,0.336,0.039,70.302,70.302,0.052,180.301,100.0,65540.0,0.008,0.0003681,0.449,4.291,89.528,0.939,89.528,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,19,0.335,0.039,69.005,69.005,0.051,149.923,100.0,65540.0,0.007,0.0003581,0.447,4.291,87.43,0.939,87.43,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,20,0.334,0.038,67.971,67.971,0.051,164.199,100.0,65540.0,0.007,0.0003488,0.446,4.291,90.225,0.918,90.225,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,21,0.338,0.039,67.469,67.469,0.051,147.095,100.0,65540.0,0.007,0.0003402,0.449,4.291,90.31,0.916,90.31,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,22,0.337,0.039,66.362,66.362,0.05,159.406,100.0,65540.0,0.007,0.0003323,0.448,4.291,89.019,0.926,89.019,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,23,0.336,0.039,64.689,64.689,0.051,152.138,100.0,65540.0,0.007,0.0003248,0.448,4.291,91.808,0.924,91.808,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,24,0.334,0.039,63.302,63.302,0.05,168.387,100.0,65540.0,0.007,0.0003178,0.445,4.291,94.571,0.891,94.571,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,25,0.334,0.038,62.212,62.212,0.05,169.096,100.0,65540.0,0.007,0.0003113,0.444,4.291,93.231,0.902,93.231,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,26,0.334,0.038,60.815,60.815,0.05,196.791,100.0,65540.0,0.007,0.0003052,0.444,4.291,92.912,0.908,92.912,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,27,0.334,0.039,59.248,59.248,0.052,165.083,100.0,65540.0,0.007,0.0002994,0.446,4.291,94.685,0.887,94.685,4.291
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,28,0.338,0.039,58.485,58.485,0.052,194.454,100.0,65540.0,0.007,0.0002939,0.451,4.291,92.333,0.908,92.333,4.291
