exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss,valid_gpu_max_cached_mem_GB
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,1,0.338,0.039,156.873,156.873,0.05,3732.0,100.0,65540.0,0.008,0.00024,0.449,4.291,90.243,0.951,90.243,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,2,0.337,0.038,84.221,84.221,0.05,339.477,100.0,65540.0,0.007,0.00066,0.447,4.291,82.136,0.958,82.136,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,3,0.336,0.039,81.943,81.943,0.052,198.917,100.0,65540.0,0.007,0.0009362,0.448,4.291,80.807,0.959,80.807,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,4,0.333,0.038,81.412,81.412,0.05,200.816,100.0,65540.0,0.007,0.0008185,0.443,4.291,83.498,0.957,83.498,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,5,0.334,0.038,80.457,80.457,0.051,153.549,100.0,65540.0,0.007,0.0007228,0.445,4.291,79.963,0.926,79.963,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,6,0.334,0.039,80.212,80.212,0.05,122.59,100.0,65540.0,0.007,0.0006544,0.445,4.291,79.582,0.957,79.582,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,7,0.338,0.039,79.269,79.269,0.05,83.514,100.0,65540.0,0.008,0.0006024,0.45,4.291,78.179,0.933,78.179,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,8,0.338,0.038,78.53,78.53,0.051,74.758,100.0,65540.0,0.007,0.0005611,0.448,4.291,77.407,0.909,77.407,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,9,0.335,0.038,77.765,77.765,0.049,101.444,100.0,65540.0,0.007,0.0005273,0.444,4.291,76.631,0.92,76.631,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,10,0.336,0.039,77.318,77.318,0.05,103.665,100.0,65540.0,0.007,0.0004989,0.447,4.291,76.442,0.929,76.442,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,11,0.333,0.039,77.068,77.068,0.049,90.847,100.0,65540.0,0.007,0.0004747,0.443,4.291,75.353,0.912,75.353,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,12,0.335,0.039,76.104,76.104,0.049,95.34,100.0,65540.0,0.007,0.0004537,0.445,4.291,74.211,0.907,74.211,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,13,0.336,0.038,75.273,75.273,0.05,116.787,100.0,65540.0,0.007,0.0004353,0.446,4.291,73.755,0.908,73.755,4.291
