exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_att,train_acc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_att,valid_acc,valid_cer,valid_wer,valid_loss,valid_gpu_max_cached_mem_GB
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,1,0.363,0.113,49.308,41.66,0.455,43.954,0.174,556.012,100.0,65540.0,0.01,0.0006322,6.322e-06,0.695,21.779,48.282,1.0,32.907,0.542,0.359,1.0,37.519,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,2,0.361,0.115,43.024,31.353,0.555,34.854,0.173,25.145,100.0,65540.0,0.01,0.0006902,6.902e-06,0.696,21.779,48.347,1.0,32.524,0.549,0.359,1.0,37.271,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,3,0.366,0.115,41.513,30.684,0.56,33.933,0.175,23.256,100.0,65540.0,0.011,0.0005304,5.304e-06,0.701,21.779,48.818,1.0,32.242,0.551,0.36,1.0,37.215,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,4,0.37,0.114,40.713,30.284,0.564,33.413,0.174,22.083,100.0,65540.0,0.011,0.0004475,4.475e-06,0.705,21.779,49.366,0.997,31.861,0.557,0.351,1.0,37.113,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,5,0.368,0.115,40.162,30.07,0.567,33.097,0.175,22.301,100.0,65540.0,0.011,0.0003944,3.944e-06,0.705,21.779,49.311,0.989,31.869,0.553,0.357,1.0,37.102,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,6,0.364,0.115,39.662,29.822,0.569,32.774,0.173,22.994,100.0,65540.0,0.011,0.0003566,3.566e-06,0.699,21.779,49.472,0.943,31.828,0.558,0.35,1.0,37.122,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,7,0.362,0.114,39.25,29.706,0.571,32.569,0.172,28.739,100.0,65540.0,0.01,0.000328,3.28e-06,0.695,21.779,51.08,0.944,31.996,0.557,0.355,1.0,37.721,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,8,0.362,0.114,38.868,29.471,0.573,32.29,0.173,24.93,100.0,65540.0,0.01,0.0003053,3.053e-06,0.695,21.779,50.795,0.943,31.628,0.561,0.347,1.0,37.378,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,9,0.365,0.115,38.367,29.345,0.574,32.052,0.174,31.333,100.0,65540.0,0.011,0.0002868,2.868e-06,0.703,21.779,51.429,0.948,31.7,0.559,0.348,1.0,37.619,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,10,0.365,0.114,38.035,29.273,0.573,31.902,0.173,26.521,100.0,65540.0,0.011,0.0002713,2.713e-06,0.699,21.779,51.896,0.944,31.934,0.557,0.353,1.0,37.922,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,11,0.367,0.114,37.804,29.117,0.575,31.723,0.173,28.823,100.0,65540.0,0.011,0.000258,2.58e-06,0.7,21.779,52.855,0.942,31.69,0.561,0.347,1.0,38.039,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,12,0.364,0.115,37.517,29.097,0.576,31.623,0.173,27.314,100.0,65540.0,0.01,0.0002465,2.465e-06,0.699,21.779,52.04,0.943,31.815,0.56,0.35,1.0,37.883,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,13,0.364,0.114,37.198,28.992,0.578,31.454,0.174,27.562,100.0,65540.0,0.01,0.0002365,2.365e-06,0.699,21.779,53.103,0.945,31.713,0.566,0.346,1.0,38.13,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,14,0.365,0.114,36.926,28.866,0.579,31.284,0.173,30.451,100.0,66450.0,0.011,0.0002275,2.275e-06,0.698,21.779,53.649,0.931,31.815,0.563,0.348,1.0,38.365,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,15,0.369,0.115,36.589,28.808,0.58,31.142,0.174,30.397,100.0,131100.0,0.011,0.0002196,2.196e-06,0.704,21.779,54.039,0.944,31.682,0.562,0.348,1.0,38.389,21.779
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,16,0.368,0.115,36.346,28.706,0.582,30.998,0.174,31.225,100.0,131100.0,0.011,0.0002124,2.124e-06,0.703,21.779,54.834,0.934,31.888,0.559,0.351,1.0,38.771,21.779
