exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_att,train_acc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_att,valid_acc,valid_cer,valid_wer,valid_loss,valid_gpu_max_cached_mem_GB
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,1,0.368,0.298,48.192,37.384,0.505,40.627,0.418,439.596,100.0,65540.0,0.011,0.0006322,1.293,14.379,47.748,1.0,33.142,0.558,0.352,1.0,37.523,14.379
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,2,0.356,0.299,43.11,31.652,0.561,35.09,0.419,29.336,100.0,65540.0,0.011,0.0006902,1.282,14.379,55.414,0.936,32.563,0.556,0.354,1.0,39.419,14.379
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,3,0.372,0.3,41.754,30.872,0.568,34.137,0.417,18.545,98.601,65540.0,0.012,0.0005304,1.299,14.379,53.094,0.936,32.476,0.56,0.355,1.0,38.662,14.379
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,4,0.366,0.3,40.884,30.397,0.572,33.543,0.418,18.408,100.0,65540.0,0.012,0.0004475,1.294,14.379,61.12,0.936,32.442,0.56,0.356,1.0,41.045,14.379
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,5,0.367,0.3,40.371,29.962,0.578,33.085,0.417,16.096,100.0,65540.0,0.012,0.0003944,1.295,14.379,57.662,0.936,31.84,0.564,0.343,1.0,39.587,14.379
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,6,0.364,0.299,39.918,29.662,0.579,32.739,0.418,15.028,100.0,65540.0,0.012,0.0003566,1.291,14.379,58.674,0.936,32.23,0.567,0.343,1.0,40.163,14.379
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,7,0.362,0.297,39.55,29.574,0.581,32.567,0.417,17.342,100.0,65540.0,0.012,0.000328,1.286,14.379,59.176,0.93,33.256,0.561,0.36,1.0,41.032,14.379
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,8,0.353,0.298,39.198,29.494,0.581,32.405,0.418,15.572,100.0,65540.0,0.011,0.0003053,1.277,14.379,56.033,0.935,32.206,0.568,0.347,1.0,39.354,14.379
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,9,0.405,0.302,38.928,29.288,0.584,32.18,0.418,17.764,100.0,65540.0,0.013,0.0002868,1.337,14.379,54.649,0.926,32.659,0.565,0.347,1.0,39.256,14.379
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,10,0.398,0.302,38.692,29.106,0.585,31.982,0.418,16.111,100.0,65540.0,0.013,0.0002713,1.329,14.379,54.9,0.925,31.794,0.569,0.342,1.0,38.726,14.379
conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,11,0.394,0.302,38.306,29.069,0.585,31.84,0.418,16.385,100.0,65540.0,0.012,0.000258,1.325,14.422,59.31,0.908,33.596,0.563,0.352,1.0,41.31,14.422
