exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss_interctc_layer4,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss_interctc_layer4,valid_cer_interctc_layer4,valid_loss,valid_gpu_max_cached_mem_GB
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,1,0.783,0.166,264.788,322.934,250.667,271.392,0.133,6859.0,100.0,65540.0,0.009,6.375e-05,3.187e-06,1.256,21.65,182.997,0.851,411.817,0.899,177.514,0.859,216.497,21.65
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,2,0.794,0.16,92.546,87.207,101.187,93.042,0.129,428.94,100.0,65540.0,0.009,0.0001898,9.488e-06,1.26,21.65,122.439,0.909,302.805,0.939,145.628,0.848,152.972,21.65
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,3,0.802,0.161,84.318,86.315,89.365,85.375,0.129,198.54,100.0,65540.0,0.009,0.0003158,1.579e-05,1.269,21.65,91.918,0.921,102.177,0.966,94.464,0.884,93.839,21.65
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,4,0.808,0.16,84.086,85.442,87.127,84.746,0.13,175.926,100.0,65540.0,0.009,0.0004417,2.209e-05,1.275,21.65,92.553,0.934,100.999,1.0,103.714,0.902,95.494,21.65
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,5,0.809,0.161,83.574,85.088,85.924,84.154,0.129,175.946,100.0,65540.0,0.009,0.0005678,2.839e-05,1.275,21.686,90.491,0.95,103.168,0.998,96.161,0.925,93.243,21.686
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,6,0.813,0.161,79.97,85.116,85.797,81.616,0.13,153.009,100.0,65540.0,0.009,0.0006938,3.469e-05,1.28,21.771,85.848,0.96,102.694,0.968,98.183,0.923,90.225,21.771
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,7,0.811,0.162,76.522,83.129,85.572,78.871,0.129,125.591,100.0,65540.0,0.009,0.0008198,4.099e-05,1.278,21.771,82.153,0.925,91.484,0.968,93.086,0.919,85.192,21.771
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,8,0.81,0.161,74.247,79.512,85.355,76.703,0.13,109.759,100.0,69700.0,0.009,0.0009453,4.726e-05,1.276,21.771,79.254,0.834,85.21,0.914,92.437,0.941,82.125,21.771
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,9,0.814,0.161,72.223,77.223,84.281,74.782,0.129,92.444,100.0,131100.0,0.009,0.0009664,4.832e-05,1.28,21.771,78.178,0.828,84.929,0.852,92.527,0.963,81.343,21.771
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,10,0.816,0.161,70.722,74.883,82.987,73.186,0.129,79.483,100.0,131100.0,0.009,0.000914,4.57e-05,1.282,21.771,77.717,0.809,81.355,0.828,92.522,0.964,80.483,21.771
