orden_principal,experimento_principal,nombre_experimento,id_principal,nombre_original,exp_tag_original,rol,estado,usos,carpeta_original,observaciones
0,P,Desarrollo preliminar,P01_overfit_ep200,overfit,overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,desarrollo histórico,completado,P,overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P02_gen1_ep200,gen1,gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,desarrollo histórico,completado,P,gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P03_charoverfit_ep200,charOverfit,charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,desarrollo histórico,interrumpido,P,charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P04_chargen1_ep200,charGen1,charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,desarrollo histórico,interrumpido,P,charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P05_charoverfit_ep50,charOverfit,charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,desarrollo histórico,completado,P,charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P06_chargen1_ep150,charGen1,charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,desarrollo histórico,completado,P,charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P07_fullcon_ep25,fullCon,fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,desarrollo histórico,completado,P,fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P08_fullcon2_ep100,fullCon2,fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,desarrollo histórico,completado,P,fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P09_c1d_ep30,c1d,c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,desarrollo histórico,completado,P,c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P10_lrdif_ep30,lrdif,lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,desarrollo histórico,completado,P,lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P11_deep_ep150,deep,deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,desarrollo histórico,interrumpido,P,deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P12_v2_ep45,v2,v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,desarrollo histórico,completado,P,v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P13_v4_ep100,v4,v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,desarrollo histórico,interrumpido,P;I,v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,Conservado por trazabilidad; no se presenta como ablación controlada.
