exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss,valid_gpu_max_cached_mem_GB
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,1,0.798,0.127,148.364,148.364,0.108,2321.0,100.0,65540.0,0.009,4.46e-05,1.178,21.715,101.047,0.916,101.047,21.715
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,2,0.817,0.124,93.988,93.988,0.106,853.781,100.0,65540.0,0.008,0.0001326,1.192,21.715,95.02,0.955,95.02,21.715
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,3,0.807,0.125,90.891,90.891,0.106,728.385,100.0,65540.0,0.008,0.0002206,1.182,21.715,96.397,0.945,96.397,21.715
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,4,0.817,0.124,89.834,89.834,0.106,842.816,100.0,65540.0,0.008,0.0003086,1.192,21.764,94.922,0.885,94.922,21.764
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,5,0.881,0.124,86.686,86.686,0.106,573.791,100.0,65540.0,0.008,0.0003966,1.256,21.764,90.488,0.873,90.488,21.764
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,6,0.83,0.125,84.317,84.317,0.106,284.414,100.0,65540.0,0.008,0.0004846,1.205,21.764,86.461,0.875,86.461,21.764
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,7,0.823,0.124,82.703,82.703,0.106,364.228,100.0,65540.0,0.008,0.0005726,1.198,21.764,85.33,0.886,85.33,21.764
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,8,0.829,0.125,82.481,82.481,0.106,450.874,100.0,65540.0,0.008,0.0006606,1.205,21.764,87.07,0.849,87.07,21.764
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,9,0.83,0.124,83.368,83.368,0.106,229.451,100.0,65540.0,0.008,0.0007486,1.204,21.764,86.687,0.903,86.687,21.764
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,10,0.83,0.124,82.5,82.5,0.107,209.118,100.0,125100.0,0.008,0.0008366,1.206,21.764,88.234,0.828,88.234,21.764
