exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss,valid_gpu_max_cached_mem_GB
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,1,0.79,0.128,129.916,129.916,0.108,1791.0,100.0,65540.0,0.009,0.0001115,1.172,21.715,99.479,0.963,99.479,21.715
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,2,0.78,0.125,91.659,91.659,0.107,820.698,100.0,65540.0,0.008,0.0003315,1.158,21.715,92.451,0.903,92.451,21.715
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,3,0.783,0.126,89.223,89.223,0.107,475.411,100.0,65540.0,0.008,0.0005515,1.162,21.715,89.938,0.944,89.938,21.715
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,4,0.797,0.125,85.684,85.684,0.107,228.682,100.0,65540.0,0.008,0.0007715,1.175,21.715,94.416,0.923,94.416,21.715
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,5,0.791,0.125,87.429,87.429,0.107,124.623,100.0,65540.0,0.008,0.0009569,1.168,21.715,89.083,0.881,89.083,21.715
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,6,0.788,0.125,84.441,84.441,0.107,123.715,100.0,65540.0,0.008,0.0009095,1.165,21.715,86.774,0.882,86.774,21.715
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,7,0.789,0.125,84.091,84.091,0.107,126.566,100.0,65540.0,0.008,0.0008364,1.166,21.775,92.841,0.829,92.841,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,8,0.794,0.125,83.746,83.746,0.107,98.917,100.0,65540.0,0.008,0.0007786,1.172,21.775,87.546,0.904,87.546,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,9,0.795,0.125,83.119,83.119,0.107,100.886,100.0,65540.0,0.008,0.0007313,1.172,21.775,91.852,0.872,91.852,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,10,0.796,0.124,82.11,82.11,0.108,87.418,100.0,125100.0,0.008,0.0006917,1.173,21.775,86.902,0.873,86.902,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,11,0.808,0.125,82.026,82.026,0.107,90.725,100.0,131100.0,0.008,0.0006579,1.186,21.775,86.028,0.863,86.028,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,12,0.798,0.125,82.172,82.172,0.107,92.49,100.0,131100.0,0.008,0.0006287,1.176,21.775,86.553,0.817,86.553,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,13,0.817,0.125,81.821,81.821,0.107,89.761,100.0,131100.0,0.008,0.000603,1.195,21.775,85.235,0.862,85.235,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,14,0.827,0.125,81.369,81.369,0.107,82.841,100.0,131100.0,0.008,0.0005802,1.205,21.775,85.691,0.867,85.691,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,15,0.829,0.126,80.947,80.947,0.108,80.698,100.0,131100.0,0.008,0.0005598,1.208,21.775,85.91,0.825,85.91,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,16,0.84,0.125,80.72,80.72,0.108,84.421,100.0,131100.0,0.009,0.0005415,1.22,21.775,84.974,0.874,84.974,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,17,0.834,0.126,80.677,80.677,0.108,83.776,100.0,131100.0,0.008,0.0005248,1.214,21.775,86.955,0.869,86.955,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,18,0.832,0.125,80.778,80.778,0.107,77.984,100.0,131100.0,0.008,0.0005096,1.209,21.775,84.789,0.864,84.789,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,19,0.849,0.125,80.614,80.614,0.108,81.208,100.0,238300.0,0.009,0.0004956,1.228,21.775,85.31,0.856,85.31,21.775
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,20,0.836,0.125,80.367,80.367,0.107,76.551,100.0,262100.0,0.008,0.0004828,1.214,21.775,84.764,0.868,84.764,21.775
