exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss,valid_gpu_max_cached_mem_GB
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,1,0.335,0.093,45.543,45.543,0.103,310.595,100.0,65540.0,0.013,0.00024,0.563,12.029,48.928,1.0,48.928,12.029
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,2,0.337,0.056,39.519,39.519,0.093,278.1,100.0,65540.0,0.007,0.00066,0.509,12.029,52.549,1.0,52.549,12.029
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,3,0.337,0.056,38.955,38.955,0.094,183.565,100.0,65540.0,0.007,0.0009362,0.509,15.559,52.383,1.0,52.383,15.559
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,4,0.336,0.056,37.044,37.044,0.095,136.29,100.0,65540.0,0.007,0.0008185,0.508,15.559,50.188,1.0,50.188,15.559
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,5,0.338,0.056,36.19,36.19,0.094,102.276,100.0,65540.0,0.007,0.0007228,0.512,15.559,50.77,0.997,50.77,15.559
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,6,0.337,0.056,35.093,35.093,0.094,160.793,100.0,65540.0,0.007,0.0006544,0.51,15.559,52.41,0.992,52.41,15.559
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,7,0.343,0.057,34.414,34.414,0.094,589.303,100.0,65540.0,0.007,0.0006024,0.517,15.701,52.862,0.936,52.862,15.701
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,8,0.34,0.056,33.973,33.973,0.094,201.412,100.0,65540.0,0.007,0.0005611,0.513,15.701,53.288,0.935,53.288,15.701
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,9,0.342,0.056,33.084,33.084,0.093,169.239,100.0,65540.0,0.007,0.0005273,0.514,15.701,53.767,0.934,53.767,15.701
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,10,0.341,0.056,32.172,32.172,0.094,213.929,100.0,65540.0,0.007,0.0004989,0.514,15.701,52.74,0.928,52.74,15.701
