exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_att,train_acc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_att,valid_acc,valid_cer,valid_wer,valid_loss,valid_gpu_max_cached_mem_GB
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,1,0.355,0.291,47.995,37.03,0.508,40.319,0.399,395.337,100.0,65540.0,0.011,0.0006322,1.266,14.369,47.848,0.904,33.191,0.557,0.357,1.0,37.588,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,2,0.358,0.292,43.032,31.539,0.563,34.987,0.397,119.871,100.0,65540.0,0.011,0.0006902,1.269,14.369,48.352,0.947,32.47,0.554,0.354,1.0,37.235,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,3,0.367,0.294,41.829,30.816,0.569,34.12,0.398,84.137,100.0,65540.0,0.012,0.0005304,1.281,14.369,47.619,0.954,32.327,0.557,0.353,1.0,36.914,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,4,0.37,0.29,41.214,30.565,0.572,33.76,0.392,83.214,100.0,65540.0,0.012,0.0004475,1.273,14.369,49.063,0.936,31.9,0.561,0.348,1.0,37.049,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,5,0.365,0.285,40.426,30.255,0.573,33.306,0.384,103.463,100.0,65540.0,0.012,0.0003944,1.253,14.369,48.37,0.924,31.784,0.564,0.353,1.0,36.759,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,6,0.365,0.286,39.913,29.97,0.575,32.953,0.386,189.075,100.0,65540.0,0.012,0.0003566,1.254,14.369,49.164,0.935,31.714,0.567,0.343,1.0,36.949,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,7,0.365,0.284,39.68,29.932,0.577,32.856,0.388,134.685,100.0,65540.0,0.012,0.000328,1.254,14.369,49.821,0.925,32.367,0.561,0.354,1.0,37.604,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,8,0.364,0.292,39.445,29.796,0.577,32.69,0.397,146.177,100.0,65540.0,0.012,0.0003053,1.275,14.369,50.12,0.929,31.728,0.57,0.346,1.0,37.246,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,9,0.358,0.292,39.161,29.674,0.582,32.52,0.398,144.968,100.0,65540.0,0.011,0.0002868,1.27,14.369,50.174,0.929,31.778,0.567,0.35,1.0,37.297,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,10,0.362,0.293,38.859,29.488,0.582,32.299,0.398,181.486,100.0,65540.0,0.012,0.0002713,1.276,14.369,50.088,0.893,31.635,0.572,0.343,1.0,37.171,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,11,0.368,0.293,38.368,29.359,0.582,32.062,0.398,201.152,100.0,65540.0,0.012,0.000258,1.282,14.369,51.955,0.902,31.992,0.565,0.353,1.0,37.98,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,12,0.362,0.294,38.105,29.154,0.584,31.839,0.399,319.683,100.0,65540.0,0.012,0.0002465,1.276,14.369,52.275,0.9,31.437,0.573,0.344,1.0,37.689,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,13,0.371,0.295,37.695,29.003,0.586,31.611,0.399,239.337,100.0,65540.0,0.012,0.0002365,1.287,14.369,52.939,0.894,31.473,0.571,0.343,1.0,37.913,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,14,0.366,0.293,37.558,28.98,0.587,31.554,0.399,262.925,100.0,66450.0,0.012,0.0002275,1.281,14.369,52.684,0.884,31.65,0.572,0.345,1.0,37.96,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,15,0.362,0.294,37.273,29.011,0.585,31.49,0.399,167.439,100.0,131100.0,0.012,0.0002196,1.277,14.369,53.742,0.871,31.606,0.572,0.341,1.0,38.247,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,16,0.365,0.292,36.998,28.866,0.588,31.306,0.398,217.319,100.0,131100.0,0.012,0.0002124,1.277,14.369,53.012,0.891,31.71,0.574,0.342,1.0,38.1,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,17,0.365,0.293,36.861,28.849,0.587,31.252,0.399,176.598,100.0,131100.0,0.012,0.0002058,1.28,14.369,54.891,0.878,31.632,0.572,0.34,1.0,38.609,14.369
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,18,0.367,0.294,36.27,28.626,0.589,30.919,0.399,240.476,100.0,131100.0,0.012,0.0001999,1.282,14.379,55.634,0.884,31.878,0.571,0.343,1.0,39.005,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,19,0.359,0.294,35.925,28.499,0.588,30.727,0.399,261.404,100.0,131100.0,0.012,0.0001944,1.274,14.379,55.171,0.871,31.802,0.568,0.344,1.0,38.813,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,20,0.364,0.294,35.633,28.331,0.591,30.522,0.399,335.537,100.0,131100.0,0.012,0.0001893,1.279,14.379,56.642,0.887,32.007,0.572,0.343,1.0,39.398,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,21,0.361,0.293,35.444,28.339,0.592,30.47,0.398,155.611,100.0,131100.0,0.012,0.0001847,1.276,14.379,56.081,0.891,31.411,0.574,0.339,1.0,38.812,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,22,0.367,0.292,35.22,28.181,0.593,30.293,0.399,219.668,100.0,131100.0,0.012,0.0001803,1.282,14.379,55.988,0.893,31.641,0.575,0.338,1.0,38.945,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,23,0.365,0.292,34.855,28.102,0.595,30.128,0.398,206.415,100.0,131100.0,0.012,0.0001763,1.279,14.379,56.172,0.879,31.678,0.574,0.34,1.0,39.026,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,24,0.37,0.294,34.41,28.068,0.595,29.971,0.399,180.195,100.0,131100.0,0.012,0.0001725,1.286,14.379,58.082,0.869,31.643,0.578,0.335,1.0,39.575,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,25,0.363,0.293,34.326,27.975,0.599,29.881,0.399,227.971,100.0,131100.0,0.012,0.0001689,1.278,14.379,57.895,0.846,31.755,0.576,0.337,1.0,39.597,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,26,0.361,0.293,33.818,27.85,0.597,29.641,0.398,594.505,100.0,131100.0,0.012,0.0001656,1.275,14.379,57.772,0.884,31.742,0.574,0.339,1.0,39.551,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,27,0.365,0.294,33.817,27.771,0.596,29.585,0.399,211.343,100.0,131100.0,0.012,0.0001624,1.281,14.379,58.091,0.87,31.643,0.579,0.335,1.0,39.578,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,28,0.363,0.292,33.285,27.611,0.598,29.314,0.399,281.417,100.0,134700.0,0.012,0.0001594,1.277,14.379,57.803,0.876,31.661,0.577,0.335,1.0,39.504,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,29,0.364,0.294,33.076,27.467,0.599,29.149,0.399,570.642,100.0,262100.0,0.012,0.0001566,1.281,14.379,60.421,0.855,31.955,0.574,0.339,1.0,40.495,14.379
linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,30,0.362,0.293,32.841,27.433,0.602,29.055,0.399,400.301,100.0,262100.0,0.012,0.0001539,1.277,14.379,59.302,0.864,32.18,0.578,0.337,1.0,40.317,14.379
