exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss,valid_gpu_max_cached_mem_GB
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,1,0.863,0.137,181.306,181.306,0.116,3343.0,100.0,65540.0,0.009,0.0001394,1.394e-06,1.274,21.77,104.909,0.938,104.909,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,2,0.819,0.137,92.757,92.757,0.116,557.919,100.0,65540.0,0.009,0.0004144,4.144e-06,1.23,21.77,96.553,0.932,96.553,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,3,0.864,0.138,90.461,90.461,0.116,363.401,100.0,65540.0,0.009,0.0006894,6.894e-06,1.277,21.77,91.961,0.921,91.961,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,4,0.856,0.137,88.098,88.098,0.116,349.862,100.0,65540.0,0.009,0.0009365,9.365e-06,1.268,21.77,92.757,0.966,92.757,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,5,0.845,0.137,88.586,88.586,0.116,120.598,100.0,65540.0,0.009,0.0008996,8.996e-06,1.258,21.77,92.162,0.911,92.162,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,6,0.855,0.137,86.446,86.446,0.116,95.006,100.0,65540.0,0.009,0.0008135,8.135e-06,1.267,21.77,87.42,0.939,87.42,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,7,0.845,0.137,81.905,81.905,0.116,129.65,100.0,65540.0,0.009,0.0007481,7.481e-06,1.256,21.77,84.415,0.871,84.415,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,8,0.844,0.137,80.672,80.672,0.116,152.199,100.0,65540.0,0.009,0.0006964,6.964e-06,1.255,21.77,84.659,0.865,84.659,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,9,0.846,0.137,80.257,80.257,0.116,201.201,100.0,65540.0,0.009,0.0006541,6.541e-06,1.257,21.77,84.154,0.902,84.154,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,10,0.855,0.137,79.847,79.847,0.116,205.728,100.0,125100.0,0.009,0.0006187,6.187e-06,1.268,21.77,84.135,0.893,84.135,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,11,0.853,0.138,79.889,79.889,0.116,314.359,100.0,131100.0,0.009,0.0005885,5.885e-06,1.265,21.77,83.763,0.874,83.763,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,12,0.852,0.137,79.776,79.776,0.116,298.905,100.0,131100.0,0.009,0.0005623,5.623e-06,1.263,21.77,83.119,0.88,83.119,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,13,0.863,0.138,79.407,79.407,0.116,274.362,100.0,131100.0,0.009,0.0005393,5.393e-06,1.276,21.77,83.149,0.883,83.149,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,14,0.852,0.138,79.511,79.511,0.116,266.717,100.0,131100.0,0.009,0.000519,5.19e-06,1.264,21.77,83.693,0.866,83.693,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,15,0.864,0.137,79.596,79.596,0.117,313.99,100.0,131100.0,0.009,0.0005007,5.007e-06,1.278,21.77,82.85,0.861,82.85,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,16,0.876,0.137,79.324,79.324,0.116,285.896,100.0,131100.0,0.009,0.0004843,4.843e-06,1.288,21.77,82.706,0.856,82.706,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,17,0.858,0.138,79.261,79.261,0.116,266.942,100.0,131100.0,0.009,0.0004694,4.694e-06,1.27,21.77,82.76,0.884,82.76,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,18,0.844,0.138,79.15,79.15,0.116,389.218,100.0,131100.0,0.009,0.0004558,4.558e-06,1.256,21.77,82.657,0.889,82.657,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,19,0.847,0.137,79.034,79.034,0.116,356.407,100.0,238300.0,0.009,0.0004433,4.433e-06,1.259,21.77,82.659,0.88,82.659,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,20,0.855,0.137,78.856,78.856,0.116,360.538,100.0,262100.0,0.009,0.0004318,4.318e-06,1.267,21.77,82.928,0.872,82.928,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,21,0.832,0.138,78.803,78.803,0.116,282.696,100.0,262100.0,0.009,0.0004211,4.211e-06,1.244,21.77,82.642,0.894,82.642,21.77
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,22,0.853,0.138,78.734,78.734,0.116,368.813,100.0,262100.0,0.009,0.0004112,4.112e-06,1.265,21.775,82.207,0.891,82.207,21.775
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,23,0.855,0.137,78.75,78.75,0.116,372.071,100.0,262100.0,0.009,0.000402,4.02e-06,1.267,21.775,82.249,0.887,82.249,21.775
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,24,0.859,0.137,78.608,78.608,0.116,305.298,100.0,262100.0,0.009,0.0003933,3.933e-06,1.271,21.775,82.342,0.888,82.342,21.775
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,25,0.868,0.138,78.769,78.769,0.116,397.843,100.0,262100.0,0.009,0.0003852,3.852e-06,1.281,21.775,81.936,0.874,81.936,21.775
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,26,0.836,0.137,78.489,78.489,0.116,340.524,100.0,262100.0,0.009,0.0003776,3.776e-06,1.248,21.775,82.014,0.877,82.014,21.775
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,27,0.848,0.137,78.553,78.553,0.117,288.067,100.0,262100.0,0.009,0.0003704,3.704e-06,1.26,21.775,82.493,0.894,82.493,21.775
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,28,0.853,0.136,78.465,78.465,0.115,281.04,100.0,452800.0,0.009,0.0003636,3.636e-06,1.262,21.775,81.805,0.87,81.805,21.775
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,29,0.848,0.136,78.418,78.418,0.114,290.385,100.0,524300.0,0.009,0.0003572,3.572e-06,1.254,21.775,82.073,0.893,82.073,21.775
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,30,0.888,0.136,78.485,78.485,0.115,312.83,100.0,524300.0,0.009,0.0003511,3.511e-06,1.295,21.775,82.151,0.874,82.151,21.775
