exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss,valid_gpu_max_cached_mem_GB
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,1,0.339,0.103,46.052,46.052,0.133,314.898,100.0,65540.0,0.013,0.00024,0.621,14.879,38.961,1.0,38.961,14.879
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,2,0.34,0.065,39.524,39.524,0.125,175.988,100.0,65540.0,0.007,0.00066,0.565,14.879,37.539,0.995,37.539,14.879
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,3,0.342,0.065,37.971,37.971,0.125,174.632,100.0,65540.0,0.007,0.0009362,0.568,16.002,36.204,1.0,36.204,16.002
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,4,0.346,0.065,37.22,37.22,0.126,94.665,100.0,65540.0,0.007,0.0008185,0.572,16.002,35.898,1.0,35.898,16.002
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,5,0.346,0.065,36.475,36.475,0.127,85.236,100.0,65540.0,0.007,0.0007228,0.573,16.141,34.818,0.962,34.818,16.141
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,6,0.344,0.065,35.441,35.441,0.127,90.555,100.0,65540.0,0.007,0.0006544,0.571,16.141,34.547,0.974,34.547,16.141
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,7,0.345,0.065,35.139,35.139,0.126,99.505,100.0,65540.0,0.007,0.0006024,0.573,18.045,33.838,0.924,33.838,18.045
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,8,0.349,0.065,34.322,34.322,0.127,114.729,100.0,65540.0,0.007,0.0005611,0.577,19.314,33.161,0.925,33.161,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,9,0.35,0.065,34.084,34.084,0.126,204.905,100.0,65540.0,0.007,0.0005273,0.578,19.314,33.601,0.927,33.601,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,10,0.346,0.066,33.529,33.529,0.127,214.634,100.0,65540.0,0.007,0.0004989,0.574,19.314,32.846,0.931,32.846,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,11,0.345,0.065,33.173,33.173,0.127,117.703,100.0,65540.0,0.007,0.0004747,0.574,19.314,32.074,0.934,32.074,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,12,0.346,0.065,32.71,32.71,0.127,142.919,100.0,65540.0,0.007,0.0004537,0.575,19.314,31.163,0.911,31.163,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,13,0.34,0.065,31.708,31.708,0.127,156.848,100.0,65540.0,0.007,0.0004353,0.569,19.314,30.45,0.899,30.45,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,14,0.341,0.065,31.551,31.551,0.127,211.812,100.0,65540.0,0.007,0.0004189,0.57,19.314,30.058,0.908,30.058,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,15,0.341,0.065,31.104,31.104,0.128,143.94,100.0,65540.0,0.007,0.0004043,0.592,19.314,29.156,0.899,29.156,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,16,0.351,0.065,30.481,30.481,0.129,206.764,100.0,65540.0,0.007,0.0003911,0.581,19.314,28.665,0.894,28.665,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,17,0.345,0.066,29.864,29.864,0.127,138.628,100.0,65540.0,0.007,0.0003791,0.574,19.314,28.331,0.909,28.331,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,18,0.347,0.066,29.419,29.419,0.127,183.986,100.0,65540.0,0.007,0.0003681,0.576,19.314,27.452,0.894,27.452,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,19,0.344,0.065,28.959,28.959,0.127,172.387,100.0,65540.0,0.007,0.0003581,0.573,19.314,26.584,0.888,26.584,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,20,0.347,0.065,28.028,28.028,0.128,253.496,100.0,65540.0,0.007,0.0003488,0.577,19.314,25.847,0.892,25.847,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,21,0.341,0.065,27.669,27.669,0.127,200.43,100.0,65540.0,0.007,0.0003402,0.57,19.314,25.62,0.853,25.62,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,22,0.341,0.065,27.21,27.21,0.127,143.773,100.0,65540.0,0.007,0.0003323,0.57,19.314,24.674,0.863,24.674,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,23,0.35,0.065,26.721,26.721,0.127,309.778,100.0,65540.0,0.007,0.0003248,0.579,19.314,24.29,0.86,24.29,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,24,0.345,0.065,26.387,26.387,0.127,596.318,100.0,65540.0,0.007,0.0003178,0.573,19.314,23.836,0.831,23.836,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,25,0.35,0.065,25.959,25.959,0.128,202.196,100.0,65540.0,0.007,0.0003113,0.579,19.314,22.295,0.839,22.295,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,26,0.339,0.065,24.758,24.758,0.126,347.869,100.0,65540.0,0.007,0.0003052,0.567,19.314,21.872,0.813,21.872,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,27,0.341,0.065,23.976,23.976,0.126,337.789,100.0,65540.0,0.007,0.0002994,0.569,19.314,21.004,0.765,21.004,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,28,0.342,0.065,23.976,23.976,0.127,243.347,100.0,65540.0,0.007,0.0002939,0.57,19.314,20.435,0.781,20.435,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,29,0.34,0.065,23.516,23.516,0.127,190.5,100.0,65540.0,0.007,0.0002887,0.568,19.314,19.954,0.76,19.954,19.314
overfit_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,30,0.346,0.065,23.022,23.022,0.127,479.6,100.0,65540.0,0.007,0.0002838,0.574,19.314,20.017,0.752,20.017,19.314
