exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_att,train_acc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_att,valid_acc,valid_cer,valid_wer,valid_loss,valid_gpu_max_cached_mem_GB
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,1,0.343,0.291,48.342,40.632,0.464,42.945,0.356,461.598,100.0,65540.0,0.014,0.0006837,1.196,13.477,42.896,1.0,31.304,0.566,0.364,1.0,34.782,13.477
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,2,0.344,0.284,41.574,31.273,0.564,34.363,0.38,82.866,100.0,65540.0,0.01,0.0006257,1.221,14.156,39.205,1.0,29.727,0.583,0.344,1.0,32.57,14.156
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,3,0.34,0.28,39.562,30.321,0.571,33.093,0.378,66.64,100.0,65540.0,0.01,0.0004832,1.208,14.156,37.568,0.997,29.256,0.581,0.346,1.0,31.749,14.156
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,4,0.353,0.281,38.052,29.733,0.572,32.229,0.377,156.73,100.0,65540.0,0.01,0.0004084,1.221,14.156,37.179,0.978,28.759,0.586,0.342,1.0,31.285,14.156
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,5,0.351,0.287,37.69,29.697,0.575,32.095,0.374,162.83,100.0,65540.0,0.01,0.0003603,1.223,14.156,36.871,0.941,28.712,0.581,0.332,1.0,31.159,14.156
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,6,0.344,0.281,37.421,29.469,0.578,31.855,0.378,158.323,100.0,65540.0,0.01,0.0003261,1.215,14.156,36.304,0.98,28.178,0.584,0.334,1.0,30.616,14.156
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,7,0.345,0.287,36.774,29.002,0.581,31.334,0.38,135.367,100.0,65540.0,0.01,0.0003,1.223,14.369,36.096,0.928,28.4,0.587,0.344,1.0,30.709,14.369
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,8,0.35,0.277,36.823,29.002,0.579,31.349,0.379,160.415,100.0,65540.0,0.01,0.0002794,1.217,14.369,35.736,0.919,27.793,0.588,0.333,1.0,30.176,14.369
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,9,0.347,0.28,36.243,28.612,0.588,30.902,0.378,201.208,100.0,65540.0,0.01,0.0002625,1.216,14.369,35.216,0.904,27.541,0.595,0.331,1.0,29.843,14.369
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,10,0.349,0.279,36.152,28.586,0.587,30.856,0.379,267.183,100.0,65540.0,0.01,0.0002483,1.218,14.369,35.15,0.857,27.277,0.598,0.329,1.0,29.639,14.369
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,11,0.348,0.284,36.222,28.362,0.591,30.72,0.38,152.818,100.0,65540.0,0.01,0.0002363,1.223,14.369,35.358,0.838,27.231,0.59,0.325,1.0,29.669,14.369
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,12,0.363,0.279,36.186,28.314,0.584,30.675,0.378,145.81,100.0,65540.0,0.01,0.0002258,1.23,14.369,34.999,0.883,27.265,0.592,0.339,1.0,29.585,14.369
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,13,0.361,0.28,35.44,27.863,0.594,30.136,0.38,378.566,100.0,65540.0,0.01,0.0002166,1.231,14.369,34.473,0.887,26.93,0.598,0.335,1.0,29.193,14.369
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,14,0.362,0.279,35.101,27.751,0.592,29.956,0.378,402.094,100.0,65540.0,0.01,0.0002084,1.229,14.369,33.884,0.868,26.523,0.605,0.32,1.0,28.731,14.369
sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,15,0.372,0.283,34.821,27.634,0.595,29.79,0.377,197.567,100.0,65540.0,0.011,0.0002011,1.243,14.369,34.184,0.852,26.609,0.604,0.33,1.0,28.881,14.369
