exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_att,train_acc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_att,valid_acc,valid_cer,valid_wer,valid_loss,valid_gpu_max_cached_mem_GB
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,1,0.36,0.115,50.017,42.049,0.456,44.439,0.174,843.063,100.0,65540.0,0.01,0.0006322,6.322e-06,0.695,21.48,48.372,1.0,33.065,0.545,0.362,1.0,37.657,21.48
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,2,0.354,0.114,43.006,31.384,0.555,34.87,0.173,57.445,100.0,65540.0,0.011,0.0006902,6.902e-06,0.688,21.643,48.491,0.953,32.716,0.552,0.36,1.0,37.448,21.643
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,3,0.36,0.115,41.577,30.764,0.56,34.008,0.174,58.091,100.0,65540.0,0.011,0.0005304,5.304e-06,0.696,21.779,48.273,0.957,32.417,0.547,0.365,1.0,37.174,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,4,0.363,0.115,40.722,30.376,0.566,33.48,0.174,47.191,100.0,65540.0,0.011,0.0004475,4.475e-06,0.699,21.779,48.672,0.952,31.874,0.559,0.352,1.0,36.913,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,5,0.359,0.115,40.15,30.067,0.567,33.092,0.173,49.549,100.0,65540.0,0.011,0.0003944,3.944e-06,0.695,21.779,48.901,0.93,31.982,0.557,0.355,1.0,37.057,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,6,0.359,0.116,39.749,29.883,0.569,32.843,0.173,43.84,100.0,65540.0,0.011,0.0003566,3.566e-06,0.696,21.779,49.047,0.938,32.1,0.556,0.356,1.0,37.184,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,7,0.363,0.115,39.212,29.813,0.57,32.633,0.173,52.877,100.0,65540.0,0.011,0.000328,3.28e-06,0.699,21.779,49.969,0.938,31.786,0.563,0.354,1.0,37.241,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,8,0.365,0.115,38.917,29.521,0.573,32.339,0.172,42.482,100.0,65540.0,0.011,0.0003053,3.053e-06,0.701,21.779,50.151,0.928,31.775,0.56,0.351,1.0,37.288,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,9,0.364,0.116,38.462,29.395,0.572,32.115,0.173,55.038,100.0,65540.0,0.011,0.0002868,2.868e-06,0.7,21.779,50.527,0.924,31.616,0.56,0.349,1.0,37.289,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,10,0.37,0.115,38.168,29.299,0.574,31.96,0.174,48.257,100.0,65540.0,0.011,0.0002713,2.713e-06,0.707,21.779,51.703,0.929,31.711,0.559,0.351,1.0,37.709,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,11,0.365,0.115,37.801,29.102,0.577,31.711,0.173,49.01,100.0,65540.0,0.011,0.000258,2.58e-06,0.7,21.779,51.546,0.925,31.66,0.561,0.349,1.0,37.626,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,12,0.367,0.115,37.472,28.927,0.578,31.491,0.173,51.47,100.0,65540.0,0.011,0.0002465,2.465e-06,0.703,21.779,51.683,0.92,31.552,0.561,0.348,1.0,37.591,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,13,0.363,0.115,37.098,28.846,0.578,31.322,0.173,54.216,100.0,65540.0,0.011,0.0002365,2.365e-06,0.699,21.779,52.877,0.918,31.446,0.562,0.345,1.0,37.875,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,14,0.363,0.115,36.797,28.748,0.58,31.163,0.173,45.009,100.0,66450.0,0.011,0.0002275,2.275e-06,0.698,21.779,53.054,0.912,31.73,0.56,0.348,1.0,38.128,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,15,0.366,0.115,36.417,28.58,0.581,30.931,0.173,53.722,100.0,131100.0,0.011,0.0002196,2.196e-06,0.702,21.779,52.714,0.919,31.633,0.564,0.345,1.0,37.957,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,16,0.371,0.116,36.167,28.502,0.583,30.802,0.174,49.431,100.0,131100.0,0.011,0.0002124,2.124e-06,0.709,21.779,53.674,0.914,31.694,0.564,0.347,1.0,38.288,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,17,0.365,0.115,35.834,28.429,0.583,30.65,0.172,54.436,100.0,131100.0,0.011,0.0002058,2.058e-06,0.701,21.779,53.086,0.916,31.531,0.563,0.346,1.0,37.997,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,18,0.365,0.116,35.546,28.318,0.585,30.486,0.172,54.661,100.0,131100.0,0.011,0.0001999,1.999e-06,0.702,21.779,53.636,0.916,31.57,0.561,0.344,1.0,38.19,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,19,0.366,0.115,35.226,28.137,0.586,30.264,0.173,50.495,100.0,131100.0,0.011,0.0001944,1.944e-06,0.705,21.779,54.603,0.912,31.432,0.567,0.342,1.0,38.383,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,20,0.368,0.115,34.909,28.116,0.588,30.154,0.173,56.886,100.0,131100.0,0.011,0.0001893,1.893e-06,0.704,21.779,54.944,0.91,31.481,0.565,0.342,1.0,38.52,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,21,0.367,0.115,34.617,28.002,0.588,29.986,0.173,52.428,100.0,131100.0,0.011,0.0001847,1.847e-06,0.703,21.779,54.979,0.91,31.572,0.565,0.344,1.0,38.594,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,22,0.369,0.115,34.375,27.868,0.591,29.82,0.173,60.786,100.0,131100.0,0.011,0.0001803,1.803e-06,0.705,21.779,54.876,0.908,31.666,0.565,0.344,1.0,38.629,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,23,0.366,0.116,34.08,27.817,0.591,29.696,0.172,55.046,100.0,131100.0,0.011,0.0001763,1.763e-06,0.702,21.779,55.275,0.905,31.38,0.568,0.34,1.0,38.548,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,24,0.367,0.115,33.773,27.729,0.592,29.542,0.172,52.348,100.0,131100.0,0.011,0.0001725,1.725e-06,0.704,21.779,55.966,0.906,31.465,0.567,0.34,1.0,38.815,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,25,0.366,0.114,33.575,27.63,0.594,29.414,0.173,50.614,100.0,131100.0,0.011,0.0001689,1.689e-06,0.699,21.779,55.89,0.906,31.387,0.569,0.339,1.0,38.738,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,26,0.366,0.115,33.209,27.513,0.593,29.222,0.173,59.924,100.0,131100.0,0.011,0.0001656,1.656e-06,0.7,21.779,56.095,0.907,31.507,0.569,0.34,1.0,38.883,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,27,0.365,0.115,32.979,27.423,0.595,29.09,0.172,54.038,100.0,131100.0,0.011,0.0001624,1.624e-06,0.699,21.779,56.472,0.905,31.369,0.567,0.342,1.0,38.9,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,28,0.363,0.114,32.779,27.306,0.595,28.947,0.172,50.297,100.0,134700.0,0.011,0.0001594,1.594e-06,0.694,21.779,57.122,0.906,31.332,0.572,0.338,1.0,39.069,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,29,0.365,0.115,32.492,27.224,0.597,28.805,0.173,55.836,100.0,262100.0,0.011,0.0001566,1.566e-06,0.699,21.779,56.91,0.903,31.322,0.571,0.34,1.0,38.998,21.779
sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,30,0.372,0.115,32.137,27.183,0.598,28.669,0.174,58.591,100.0,262100.0,0.011,0.0001539,1.539e-06,0.707,21.779,57.574,0.907,31.46,0.57,0.34,1.0,39.294,21.779
