nombre,frontend,objetivo_ctc,capa_sesion,norm,subsample,interctc_weight,grad_clip,weight_decay,lr,enc_lr_scale,ctc_weight,n_train,epocas_hechas,min_valid_cer_ctc,epoch_min_cer_ctc,pendiente_cer_ctc,cer_ctc_micro,cer_ctc_greedy,wer_ctc_greedy,cer_beam,wer_beam,minutos,compute_units
charOverfit,linear,char,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,1.0,348,75.0,0.052,75.0,-0.0034666666666666,0.4619758351101635,0.4509935155341459,0.7791904761904763,,,25.7,0.73
charOverfit,linear,char,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,1.0,348,50.0,0.231,50.0,-0.0185454545454545,0.5387348969438521,0.5371491764693882,0.8868174603174603,,,17.3,0.49
B4bpe50k,deep,bpe,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,20.0,0.243,19.0,-0.0065939393939393,0.2538909882789982,0.2469523213547507,0.3234389497878484,,,226.7,6.46
B2bpe256,deep,bpe256,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,40.0,0.245,37.0,-0.0012666666666666,0.2574136937167744,0.251493024429834,0.4240232805264567,,,316.1,9.01
H1semilla,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,40.0,0.297,40.0,-0.0007575757575757,0.2727001003437306,0.2672359265942138,0.5354338583022272,,,309.5,8.82
B4bpe50k,deep,bpe,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,11.0,0.302,11.0,-0.0993030303030301,0.3186233694143769,0.3122415920662447,0.3997591777911058,,,143.2,4.08
B3word,deep,word,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,40.0,0.312,37.0,-0.0002666666666666,0.271995454114973,0.222002068443951,0.282427561301004,,,331.6,9.45
H2semilla,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,40.0,0.314,40.0,-0.001230303030303,0.2863212280364653,0.2804080582684011,0.5446071865323577,,,308.1,8.78
A1randEls,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,30.0,0.324,28.0,-0.0005090909090909,0.2949892183863874,0.2887007052545438,0.5713065403324045,,,231.6,6.6
B3word,deep,word,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,20.0,0.327,19.0,-0.0075151515151515,0.2877166398333175,0.240426101402724,0.3085488123789419,,,166.8,4.75
F1L3,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,40.0,0.334,40.0,-0.0012484848484848,0.2998569568094963,0.2955342075659216,0.5685098214035595,,,272.4,7.76
F2L2,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,40.0,0.353,39.0,-0.000490909090909,0.3161895002028224,0.3109592513399279,0.6022413287150107,,,259.4,7.39
v5,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,8072,60.0,0.362,60.0,-0.0012121212121212,0.3185390661118816,0.313651896688812,0.584330266955267,,,531.6,15.15
