exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,1,0.36,0.148,325.43,665.982,213.798,0.058,8433.0,100.0,65540.0,0.006,8.5e-05,4.25e-06,1.324,21.758,288.43,0.877,535.318,2.484,362.496,21.758
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,2,0.363,0.143,142.774,175.494,76.295,0.055,1301.0,100.0,65540.0,0.005,0.000253,1.265e-05,1.313,21.758,99.556,0.975,112.395,0.998,103.407,21.758
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,3,0.364,0.144,84.387,90.973,43.181,0.053,197.217,100.0,65540.0,0.005,0.000421,2.105e-05,1.306,21.758,102.402,0.913,151.305,1.0,117.073,21.758
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,4,0.372,0.143,83.923,87.898,42.558,0.054,180.011,100.0,65540.0,0.005,0.000589,2.945e-05,1.329,21.758,102.089,0.922,157.445,0.996,118.696,21.758
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,5,0.369,0.143,82.785,86.036,41.88,0.053,127.67,100.0,65540.0,0.005,0.000757,3.785e-05,1.318,21.758,104.155,0.898,183.051,0.94,127.824,21.758
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,6,0.372,0.144,79.875,85.452,40.774,0.054,118.906,100.0,65540.0,0.005,0.0009246,4.623e-05,1.332,21.758,124.945,0.943,131.841,0.943,127.014,21.758
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,7,0.372,0.143,73.597,85.289,38.552,0.054,117.965,100.0,65540.0,0.005,0.0009572,4.786e-05,1.327,21.76,120.749,0.889,156.967,0.96,131.614,21.76
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,8,0.378,0.144,67.657,84.083,36.292,0.054,100.46,100.0,69700.0,0.005,0.000891,4.455e-05,1.34,21.76,97.639,0.932,120.222,0.94,104.414,21.76
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,9,0.381,0.144,60.377,83.082,33.594,0.054,97.126,100.0,131100.0,0.005,0.0008369,4.184e-05,1.35,21.764,86.142,0.888,125.202,0.975,97.86,21.764
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,10,0.375,0.143,53.894,82.277,31.204,0.054,96.561,100.0,131100.0,0.005,0.0007916,3.958e-05,1.334,21.764,76.306,0.825,149.976,0.938,98.407,21.764
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,11,0.375,0.143,48.187,81.85,29.143,0.054,96.211,100.0,131100.0,0.005,0.0007529,3.765e-05,1.337,21.777,79.149,0.852,113.324,0.963,89.402,21.777
