exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,1,0.531,0.148,308.557,664.989,207.743,0.058,7707.0,100.0,65540.0,0.006,8.5e-05,4.25e-06,1.661,21.758,306.264,0.886,468.775,1.857,355.018,21.758
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,2,0.534,0.143,152.235,357.788,106.95,0.055,2057.0,100.0,65540.0,0.005,0.000253,1.265e-05,1.651,21.758,155.574,0.948,146.433,0.966,152.832,21.758
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,3,0.536,0.143,85.321,86.297,42.807,0.053,249.798,90.476,65540.0,0.005,0.000421,2.105e-05,1.642,21.758,103.66,0.975,110.598,0.947,105.741,21.758
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,4,0.541,0.143,84.213,85.336,42.275,0.054,194.434,81.349,65540.0,0.005,0.000589,2.945e-05,1.664,21.758,92.172,0.962,97.334,0.959,93.721,21.758
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,5,0.537,0.142,82.951,84.899,41.768,0.053,176.018,80.159,65540.0,0.005,0.000757,3.785e-05,1.648,21.758,92.025,0.948,98.623,0.954,94.005,21.758
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,6,0.535,0.143,81.635,84.536,41.253,0.054,152.624,73.016,65540.0,0.005,0.0009246,4.623e-05,1.652,21.758,91.77,0.929,119.545,0.909,100.102,21.758
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,7,0.545,0.143,79.781,82.07,40.234,0.054,161.371,75.0,65540.0,0.005,0.0009572,4.786e-05,1.669,21.76,90.193,0.878,92.466,1.031,90.875,21.76
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,8,0.539,0.143,75.62,76.429,37.932,0.054,157.496,75.397,69700.0,0.005,0.000891,4.455e-05,1.655,21.76,79.462,0.952,82.439,0.983,80.356,21.76
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,9,0.537,0.143,68.642,70.178,34.551,0.054,130.959,68.651,131100.0,0.005,0.0008369,4.184e-05,1.655,21.764,70.586,0.888,72.513,0.963,71.164,21.764
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,10,0.552,0.143,62.083,64.805,31.45,0.054,124.265,67.857,131100.0,0.006,0.0007916,3.958e-05,1.683,21.764,65.651,0.844,69.625,0.958,66.843,21.764
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,11,0.539,0.143,56.733,59.945,28.848,0.054,103.43,42.857,131100.0,0.005,0.0007529,3.765e-05,1.658,21.777,61.349,0.767,63.422,0.9,61.971,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,12,0.538,0.143,52.055,55.788,26.588,0.054,107.822,51.19,131100.0,0.005,0.0007194,3.597e-05,1.656,21.777,57.696,0.712,61.23,0.866,58.756,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,13,0.546,0.143,48.327,52.389,24.773,0.055,99.477,42.063,131100.0,0.005,0.00069,3.45e-05,1.674,21.777,55.107,0.673,57.787,0.771,55.911,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,14,0.543,0.143,45.109,49.534,23.218,0.054,96.681,36.905,131100.0,0.005,0.000664,3.32e-05,1.664,21.777,52.502,0.628,56.254,0.745,53.627,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,15,0.544,0.143,42.313,46.981,21.857,0.054,89.999,28.175,131100.0,0.005,0.0006407,3.203e-05,1.668,21.777,51.988,0.599,54.386,0.685,52.707,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,16,0.553,0.142,39.868,44.62,20.647,0.054,86.222,18.651,147700.0,0.006,0.0006197,3.098e-05,1.684,21.777,49.058,0.562,52.431,0.679,50.07,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,17,0.546,0.143,37.366,42.244,19.415,0.055,82.364,17.063,262100.0,0.005,0.0006006,3.003e-05,1.68,21.777,47.805,0.531,50.474,0.642,48.605,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,18,0.542,0.142,35.407,40.347,18.445,0.054,81.58,14.286,262100.0,0.005,0.0005832,2.916e-05,1.658,21.777,46.138,0.519,49.501,0.6,47.147,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,19,0.545,0.143,33.557,38.516,17.522,0.053,78.837,9.921,262100.0,0.005,0.0005672,2.836e-05,1.666,21.777,45.451,0.496,48.427,0.593,46.344,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,20,0.537,0.143,32.061,36.934,16.761,0.055,76.789,9.524,262100.0,0.005,0.0005525,2.762e-05,1.662,21.777,45.788,0.476,48.283,0.562,46.536,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,21,0.546,0.142,30.433,35.182,15.929,0.054,75.982,8.73,262100.0,0.005,0.0005388,2.694e-05,1.673,21.777,44.888,0.466,48.066,0.545,45.842,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,22,0.553,0.143,29.24,34.155,15.357,0.053,75.965,9.127,262100.0,0.005,0.0005261,2.631e-05,1.678,21.777,43.99,0.457,46.645,0.545,44.787,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,23,0.542,0.143,28.033,32.948,14.754,0.055,74.985,8.333,262100.0,0.005,0.0005143,2.572e-05,1.669,21.777,44.611,0.448,46.673,0.513,45.23,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,24,0.545,0.143,26.708,31.44,14.064,0.054,69.714,3.175,312100.0,0.005,0.0005032,2.516e-05,1.674,21.777,43.717,0.441,46.08,0.506,44.426,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,25,0.553,0.143,25.71,30.543,13.58,0.055,73.448,9.127,524300.0,0.005,0.0004929,2.464e-05,1.689,21.777,43.106,0.434,45.907,0.504,43.946,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,26,0.538,0.142,24.71,29.358,13.052,0.053,70.653,4.365,524300.0,0.005,0.0004831,2.416e-05,1.65,21.777,43.73,0.429,46.146,0.511,44.455,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,27,0.545,0.143,23.673,28.391,12.544,0.054,69.837,3.175,524300.0,0.005,0.0004739,2.37e-05,1.671,21.777,44.234,0.422,45.872,0.485,44.726,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,28,0.548,0.143,23.0,27.627,12.194,0.054,68.182,1.587,524300.0,0.005,0.0004652,2.326e-05,1.673,21.777,44.266,0.422,46.884,0.485,45.051,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,29,0.543,0.142,21.945,26.608,11.672,0.054,66.61,1.587,524300.0,0.005,0.000457,2.285e-05,1.662,21.777,44.29,0.411,46.519,0.467,44.959,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,30,0.546,0.143,21.068,25.697,11.228,0.055,65.46,1.984,524300.0,0.005,0.0004492,2.246e-05,1.675,21.777,43.776,0.411,45.927,0.477,44.421,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,31,0.547,0.142,20.392,24.905,10.873,0.054,64.97,1.19,524300.0,0.005,0.0004417,2.209e-05,1.672,21.777,44.444,0.402,45.468,0.464,44.751,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,32,0.538,0.142,19.777,24.335,10.572,0.053,65.319,1.19,657400.0,0.005,0.0004347,2.173e-05,1.648,21.777,44.811,0.402,46.776,0.469,45.4,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,33,0.542,0.142,19.108,23.552,10.221,0.054,64.95,0.794,1049000.0,0.005,0.0004279,2.14e-05,1.662,21.777,43.785,0.397,45.911,0.452,44.423,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,34,0.545,0.142,18.246,22.831,9.811,0.055,63.986,1.587,1049000.0,0.005,0.0004215,2.107e-05,1.673,21.777,44.877,0.391,46.467,0.445,45.354,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,35,0.539,0.142,17.686,22.128,9.509,0.054,63.013,0.794,1049000.0,0.005,0.0004153,2.077e-05,1.657,21.777,45.894,0.386,46.638,0.44,46.117,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,36,0.542,0.142,17.147,21.449,9.219,0.054,62.276,1.19,1049000.0,0.005,0.0004095,2.047e-05,1.66,21.777,46.76,0.387,48.256,0.436,47.208,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,37,0.541,0.143,16.657,20.898,8.965,0.055,61.596,0.794,1049000.0,0.005,0.0004038,2.019e-05,1.667,21.777,45.479,0.381,46.786,0.436,45.871,21.777
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,38,0.538,0.143,16.115,20.268,8.681,0.055,61.138,0.397,1049000.0,0.005,0.0003984,1.992e-05,1.66,21.777,47.232,0.384,48.604,0.438,47.644,21.777
