exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss_interctc_layer2,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_optim0_lr1,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss_interctc_layer2,valid_cer_interctc_layer2,valid_loss,valid_gpu_max_cached_mem_GB
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,1,0.679,0.144,325.293,546.433,195.818,0.054,6893.0,100.0,65540.0,0.006,8.5e-05,4.25e-06,1.943,21.777,226.979,0.879,317.679,0.899,254.189,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,2,0.654,0.143,169.899,168.508,84.741,0.055,1656.0,97.222,65540.0,0.006,0.000253,1.265e-05,1.893,21.777,111.92,0.89,158.127,0.958,125.782,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,3,0.658,0.144,84.458,91.461,43.279,0.053,183.775,80.159,65540.0,0.006,0.000421,2.105e-05,1.888,21.777,107.965,0.876,184.214,0.961,130.84,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,4,0.654,0.143,83.555,88.598,42.534,0.054,145.057,67.063,65540.0,0.006,0.000589,2.945e-05,1.89,21.777,103.808,0.927,132.322,0.997,112.363,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,5,0.648,0.143,82.063,86.595,41.711,0.053,157.399,73.016,65540.0,0.006,0.000757,3.785e-05,1.872,21.777,109.68,0.894,191.972,0.957,134.368,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,6,0.65,0.144,78.659,85.55,40.363,0.054,132.036,64.286,65540.0,0.006,0.0009246,4.623e-05,1.885,21.777,110.201,0.927,153.488,0.965,123.187,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,7,0.649,0.144,70.459,84.884,37.393,0.053,121.598,57.54,65540.0,0.006,0.0009572,4.786e-05,1.877,21.777,95.818,0.931,213.895,0.914,131.241,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,8,0.655,0.144,63.264,83.755,34.706,0.054,102.853,38.889,69700.0,0.006,0.000891,4.455e-05,1.891,21.777,78.768,0.91,167.321,0.943,105.334,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,9,0.658,0.144,56.756,83.101,32.33,0.054,96.128,37.302,131100.0,0.006,0.0008369,4.184e-05,1.9,21.777,71.37,0.874,197.056,0.928,109.076,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,10,0.65,0.142,52.025,82.322,30.557,0.053,97.42,38.095,131100.0,0.005,0.0007916,3.958e-05,1.874,21.777,60.241,0.768,149.571,0.917,87.04,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,11,0.651,0.143,48.101,81.722,29.094,0.054,92.244,31.349,131100.0,0.006,0.0007529,3.765e-05,1.881,21.777,54.165,0.687,100.927,0.933,68.194,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,12,0.652,0.144,44.981,81.156,27.917,0.054,94.711,34.127,131100.0,0.006,0.0007194,3.597e-05,1.887,21.777,56.635,0.71,193.941,0.923,97.827,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,13,0.643,0.143,43.081,80.945,27.22,0.054,98.207,42.063,131100.0,0.006,0.00069,3.45e-05,1.869,21.777,51.493,0.606,105.257,0.929,67.622,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,14,0.645,0.144,40.85,80.576,26.384,0.054,102.065,41.27,131100.0,0.006,0.000664,3.32e-05,1.872,21.777,51.518,0.599,138.059,0.91,77.48,21.777
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,15,0.65,0.144,39.256,80.394,25.799,0.054,104.256,47.222,131100.0,0.006,0.0006407,3.203e-05,1.884,21.777,50.126,0.569,134.731,0.914,75.507,21.777
